Year,ENSO_phase,Year-Month,nzd_188_Average_Value,Value,Smooth_Value,Month,Bias,Bias_smooth
2009,El Niño,2009-03-01,359.9067828043989,0.4,0.7153901072609699,3,4.72315952475617,-2.6692528119824765
2009,El Niño,2009-05-01,349.2630409127213,-0.1,0.3439670199582216,5,-5.920582366921451,-2.4376411689717448
2009,El Niño,2009-06-01,358.86506638296345,0.1,0.1536549895376149,6,3.681443103320703,-2.1948480055960404
2009,El Niño,2009-07-01,345.6989707798221,0.2,-0.0262188717236668,7,-9.48465249982064,-1.9394201444219854
2009,El Niño,2009-09-01,355.3882160293267,0.3,-0.3208923574140802,9,0.20459274968396812,-1.146546475405624
2009,El Niño,2009-10-01,353.75383363433093,-1.2,-0.4136960764389322,10,-1.4297896453118142,0.03658588448679445
2009,El Niño,2009-11-01,354.47363153610524,-0.6,-0.4459030422819888,11,-0.7099917435375005,1.5831258292873394
2009,El Niño,2009-12-01,358.10819401444786,-0.7,-0.4091928400015729,12,2.9245707348051155,3.335622993821599
2010,La Niña,2010-01-01,364.9065155746959,-1.1,-0.2976528196203515,1,9.722892295053157,4.932395934178184
2010,La Niña,2010-03-01,360.88861873871537,0.7,0.1428551531605058,3,5.70499545907262,5.975153811763511
2010,La Niña,2010-04-01,361.4012440142326,1.2,0.4277672416441795,4,6.217620734589843,6.492259986208061
2010,La Niña,2010-05-01,361.7284241683526,0.9,0.7206394833220333,5,6.544800888709858,6.48801680411196
2010,La Niña,2010-06-01,363.194355715616,0.4,1.009355425950357,6,8.010732435973239,5.942266518408002
2010,La Niña,2010-07-01,362.545607500085,1.8,1.2846011253585323,7,7.3619842204422525,4.839908721866217
2010,La Niña,2010-08-01,358.82097241595693,1.8,1.527541458845468,8,3.637349136314185,3.350066019055647
2010,La Niña,2010-09-01,355.3144597662399,2.2,1.7273944111263444,9,0.13083648659716118,1.8664836879897573
2010,La Niña,2010-10-01,351.66028144510165,1.7,1.877635131621883,10,-3.5233418345410996,0.8084931962590066
2010,La Niña,2010-11-01,354.16544954185827,1.3,1.979123232078954,11,-1.0181737377844797,0.44084470936624565
2010,La Niña,2010-12-01,355.0044673964952,2.9,2.029942775312839,12,-0.17915588314752995,0.6424837782863755
2011,La Niña,2011-01-01,357.3602456776683,2.3,2.0175665236375817,1,2.176622398025529,1.1624119359073075
2011,La Niña,2011-02-01,355.0906776452535,2.7,1.943061883502968,2,-0.09294563438925252,1.6764533271032052
2011,La Niña,2011-03-01,358.7857895686185,2.5,1.811909284426939,3,3.602166288975752,1.9507603464635703
2011,La Niña,2011-04-01,366.5927624869111,1.9,1.6414163139977094,4,11.409139207268367,1.5938980660157425
2011,La Niña,2011-06-01,348.0143778969077,0.2,1.2986856492495968,6,-7.169245382735028,0.3615101119217512
2011,La Niña,2011-07-01,357.7914011007912,1.0,1.174089799262081,7,2.6077778211484315,-1.1165887132206889
2011,La Niña,2011-08-01,352.2359223336004,0.4,1.0842299332207863,8,-2.947700946042346,-2.881292486552445
2011,La Niña,2011-09-01,353.2944435777009,1.0,1.02476140396126,9,-1.8891797019418277,-4.641793411773543
2011,La Niña,2011-10-01,348.7870098975672,0.8,0.9806484716124718,10,-6.396613382075543,-6.113198204547812
2011,La Niña,2011-11-01,333.9158036763964,1.1,0.936468499366498,11,-21.267819603246323,-6.765458568006247
2011,La Niña,2011-12-01,351.18180630956834,2.5,0.8739762180464689,12,-4.001816970074401,-6.093767905977121
2012,Neutral,2012-01-01,352.2401577630602,1.1,0.7774815381729151,1,-2.9434655165825347,-4.884938017071515
2012,Neutral,2012-03-01,357.2215419776874,0.7,0.5263904621854942,3,2.0379186980446775,-3.7394660506355195
2012,Neutral,2012-04-01,347.3546515673296,-0.3,0.3988573792330274,4,-7.828971712313148,-3.0849365117566006
2012,Neutral,2012-05-01,357.58652421909284,0.0,0.2891218221121399,5,2.4029009394500918,-2.834384833340101
2012,Neutral,2012-06-01,357.6672009189641,0.4,0.2012842233824655,6,2.4835776393213678,-3.323362693449406
2012,Neutral,2012-08-01,355.0048546739175,-0.2,0.0927394514629354,8,-0.17876860572522446,-4.420975332465626
2012,Neutral,2012-09-01,332.985499082674,0.2,0.0752997124841861,9,-22.198124196968763,-5.479146620578656
2012,Neutral,2012-10-01,347.81568642717133,0.3,0.0786138123801069,10,-7.367936852471416,-5.47197834580746
2012,Neutral,2012-11-01,363.1672022597286,0.3,0.1006357353263499,11,7.983578980085838,-4.862608386718788
2012,Neutral,2012-12-01,347.54965270048643,-0.6,0.1427786246801275,12,-7.633970579156312,-4.283033670209644
2013,Neutral,2013-01-01,346.7007206875353,-0.1,0.2095706904341794,1,-8.48290259210745,-3.221135908732098
2013,Neutral,2013-02-01,351.08675868593053,-0.2,0.2939342265706169,2,-4.096864593712212,-1.463240064139823
2013,Neutral,2013-03-01,350.1388888888889,1.5,0.3839544850335172,3,-5.044734390753831,0.7357021297838584
