nzd_name,orientation,coordinate,quadrant,p-value,Max_lag,Max_Correlation
nzd0139,47.7,"-36.600789,175.523792",1,1.560037250865392e-05,0.0,0.7200743407285457
nzd0139,47.7,"-36.600789,175.523792",1,1.560037250865392e-05,0.0,0.7200743407285457
nzd0143,177.88,"-36.611098,174.825580",2,0.00018207726435094353,11.0,-0.6498551225115861
nzd0161,238.91,"-36.685865,174.334589",3,4.119710266662936e-05,0.0,0.6760822510084817
nzd0191,92.53,"-37.090106,175.882983",2,0.0007663088068822096,0.0,0.5046546388413685
nzd0205,245.66,"-37.489125,174.738749",3,0.05723475202078705,0.0,0.30315081972357527
nzd0207,58.63,"-37.517365,176.033763",1,0.00038710787364069243,8.0,-0.5974472400789814
nzd0212,251.19,"-37.622576,174.789051",3,0.000996476318309462,11.0,-0.5975889025295514
nzd0224,129.39,"-37.789835,178.468346",2,0.012186193820121594,2.0,-0.46721270786517805
nzd0226,35.17,"-37.805578,176.550300",1,0.15893357234037464,7.0,-0.3188278816299953
nzd0227,324.64,"-37.811162,177.647166",4,0.04443753890937687,8.0,0.35216554878725015
nzd0229,20.56,"-37.876639,176.717095",1,0.10628193028148751,0.0,0.30613736105510636
nzd0234,23.98,"-37.926856,176.951915",1,0.060532532866264394,11.0,0.4064081229752318
nzd0237,257.38,"-37.933991,174.784609",3,3.166580096399362e-05,2.0,0.7115211518714556
nzd0237,255.23,"-37.931804,174.783964",3,3.166580096399362e-05,2.0,0.7115211518714556
nzd0240,352.32,"-37.989372,177.355755",4,0.14461100633073615,8.0,-0.26378957329755015
nzd0266,274.03,"-38.596155,174.632046",4,0.006314977881647876,7.0,0.5757104267189342
nzd0277,322.09,"-39.011512,174.169088",4,0.016522283574890273,4.0,0.3916469561301992
nzd0279,82.04,"-39.031987,177.883684",1,5.9001699476883195e-06,0.0,-0.733827906246583
nzd0281,181.87,"-39.048416,177.676023",3,3.5501937149349596e-05,2.0,-0.689233629549825
nzd0292,258.69,"-39.351277,173.774309",3,0.0013823576180342562,9.0,0.5489984577414431
nzd0293,122.4,"-39.352309,176.904989",2,0.07864201328861212,11.0,-0.3378992210960932
nzd0295,123.88,"-39.716367,177.022420",2,4.951231334515916e-06,3.0,-0.6879682463047452
nzd0300,196.98,"-39.869970,174.859465",3,0.04646036233347893,10.0,-0.4287892411270969
nzd0309,254.77,"-40.173265,175.200489",3,0.0354020814099126,6.0,-0.41420852871320046
nzd0310,133.42,"-40.244950,176.708996",2,0.061085358141715326,4.0,-0.3198173908182542
nzd0311,274.4,"-40.388368,175.229571",4,0.0003382769987990603,4.0,-0.5861090019089363
nzd0311,277.56,"-40.436146,175.223264",4,0.0003382769987990603,4.0,-0.5861090019089363
nzd0312,143.59,"-40.507909,176.527962",2,0.2500287140002566,0.0,0.19126022488650102
nzd0321,299.01,"-40.816618,175.069624",4,0.0009960978941568831,7.0,0.6403926089880443
nzd0330,119.43,"-40.961102,176.139207",2,0.008358803227752684,0.0,0.4329134378483643
nzd0343,118.76,"-41.137874,176.044767",2,0.016588481709246337,1.0,-0.40228278318992333
nzd0347,150.5,"-41.256991,175.905685",2,0.41841240262320784,9.0,-0.2100500365080408
nzd0353,199.42,"-41.385804,175.115216",3,0.028570645653639586,0.0,-0.35076733065654037
nzd0358,175.67,"-41.565490,175.391280",2,9.416340590580002e-05,0.0,-0.6906090419824263
