Year-Month,nzd_191_Average_Value,Value
2013-09,317.8076116992958,0.46993672485858357
2013-10,317.66392109937107,0.45337122390349965
2013-11,317.3407643825731,0.4831409853199629
2013-12,316.98574398530224,0.5296188680545513
2014-01,316.57461886458856,0.5807287661223874
2014-02,315.61782161350436,0.5922909238768446
2014-03,314.4164021027973,0.567970826809761
2014-04,313.03650760705733,0.47589736695557994
2014-05,311.3674215571637,0.3103053460677613
2014-06,310.1194975862729,0.09092743552305278
2014-07,308.9930258776054,-0.14707633107417037
2014-08,308.0425893909791,-0.35957273237705
2014-09,307.35162401865296,-0.5068043715735898
2014-10,306.93889110985646,-0.5756296135298774
2014-11,306.7535603893032,-0.568617691677851
2014-12,306.63630457957106,-0.4903547261542293
2015-01,306.6462114833019,-0.3713229970116167
2015-02,306.74802971731697,-0.2510078475407249
2015-03,306.94505845253474,-0.20061105576439814
2015-04,307.34537157713066,-0.2567819850132762
2015-05,308.1934954495308,-0.4042466393468286
2015-06,309.13498820856273,-0.6067034905260255
2015-07,310.05183027510435,-0.8501848680087226
2015-08,311.23183836236876,-1.070595574096728
2015-09,312.4297736146312,-1.223198549449787
2015-11,313.3749320610301,-1.2746489954357216
2015-12,314.05066736744686,-1.2220458336376772
2016-01,314.7533211430755,-1.1249075170949192
2016-02,315.2053581651554,-0.9375491151473682
2016-03,315.4534327241575,-0.665644767311988
2016-04,315.63656712653903,-0.3670814662168749
2016-05,315.74808172040076,-0.05760719111081092
2016-06,315.6698472979562,0.19695097342122275
2016-07,315.33035307458806,0.3640719526642287
2016-08,314.9679460829349,0.4417202606982669
2016-09,314.7558141533211,0.43083282662132877
2016-10,314.6888908732512,0.35308525930173174
2016-11,314.7074306173433,0.27695336942236815
2016-12,314.74586503425525,0.22822232000442813
2017-01,314.78278768397416,0.20376175829224355
2017-02,314.8581505072722,0.20637067299273687
2017-03,314.97802502482244,0.23853668692227004
2017-04,315.1437034464986,0.27867259031874336
2017-05,315.3856891034965,0.34900388431183393
2017-06,315.72414180027846,0.4367952801537868
2017-07,316.1629268294052,0.525261747808802
2017-08,316.49256366151843,0.5945749922113686
2017-09,316.82927009318064,0.6467878331304453
2017-12,317.44007775625295,0.6458199724899302
2018-01,317.93146369500147,0.6208841485039563
2018-02,318.12735909572297,0.5771476881429455
2018-03,318.2569510564912,0.527810519581477
2018-04,318.4623118889294,0.4388808830748012
2018-05,318.7094340881635,0.3223367218852239
2018-06,319.15431077488887,0.19520600053252968
2018-07,319.84464193463197,0.08092754540547736
2018-08,320.7289965728299,-0.004905759695682563
2018-09,321.48197913089274,-0.03692638803568444
2018-10,322.14419839404206,-0.013264184276405772
2018-11,322.81330433271285,0.019522205326034367
2018-12,323.30668972532436,0.04584038036144003
2019-01,323.9452040774146,0.04024313392595193
2019-02,324.4057955179547,0.02114261785449628
2019-03,324.9881706922238,0.00362422088469758
2019-04,325.9170923926964,-0.03631022162356773
2019-05,326.68248510230575,-0.10014622654223462
2019-06,327.1386244393313,-0.17835093699821336
2019-07,327.39265130247014,-0.2854146170438219
2019-09,327.45814472396063,-0.48089218298276354
2019-10,327.4153382999561,-0.5077316375214126
2019-11,327.20871965440824,-0.4763858552763143
2019-12,326.9401967929034,-0.38119678730128814
2020-01,326.5358212959494,-0.24196357415422642
2020-02,325.5339481772435,-0.09617478246611133
2020-03,324.7160471293589,0.05175809455148082
2020-04,324.4218194646868,0.19710692098590027
2020-05,323.97032500579417,0.3391325743591885
2020-06,323.36220972468976,0.47733541772074395
2020-08,322.60443258495565,0.754008545978388
2020-09,321.83981240255537,0.8712958857678531
2020-10,321.3643098334101,0.9757435874965836
2020-11,321.034108190538,1.07736374619017
2020-12,320.689994084342,1.1514127385919921
2021-01,319.93989249677423,1.1444070142804073
2021-02,319.1201260673084,1.0468454301796504
2021-03,318.6753214322761,0.8965760046047285
2021-04,317.7242000734537,0.7656565298162769
2021-05,316.46682348611154,0.6904047683168729
2021-06,314.95460380022973,0.6729653839725587
2021-07,313.5822857260274,0.7000589857544066
2021-09,312.6382204896568,0.7935070269999567
2021-11,311.99297411743146,0.9643830627404292
2021-12,311.5845980673196,1.064207213820483
2022-01,310.8505485313377,1.1578140497119904
2022-02,310.23861202939145,1.2666805541894288
2022-03,310.0938115065662,1.368711204822705
2022-04,310.19160734829734,1.4281829300390187
2022-05,310.30533769069956,1.4416784848376993
2022-06,310.4016641237586,1.427394167617796
2022-07,310.43082399248607,1.4000775906634824
2022-08,310.0422482860909,1.3960773740597916
2022-09,309.399519203147,1.4099046907360115
2022-10,308.7785004178926,1.4053873282635907
2022-11,308.0724488155417,1.3616592186034104
2022-12,307.7712370177702,1.2808177723840093
2023-02,307.46898151647633,0.8691882409568242
2023-03,306.0484385513784,0.5596923753796271
2023-04,304.9147922968052,0.2477329814472668
2023-05,304.8815716410349,-0.035433366084452314
2023-06,305.1323205738768,-0.26250118262635397
2023-07,305.6049220273908,-0.4556680704075237
2023-08,306.81182492177305,-0.5987186311664061
2023-09,308.28378648478935,-0.6627828819440278
2023-10,309.29449422579205,-0.6354023907560674
2023-11,310.53262595398337,-0.5474040760761877
2023-12,311.56690242801875,-0.41855228688143864
2024-01,312.74579368376845,-0.2890004656818087
2024-02,313.81360768853034,-0.18141913544711386
2024-03,314.4335984609015,-0.07465886528707583
2024-04,315.1965714619878,0.006941914191905471
2024-05,315.9487980103542,0.07265142731532784
2024-07,316.41024213811306,0.15721744158705914
2024-08,316.64856557689075,0.2142673964670968
2024-09,316.80029856868435,0.2518589676029636
2024-10,316.85760274660305,0.27955801745669123
