YEAR,Month,Value,Date
1984,JAN,0.2,1984-01-01
1984,FEB,0.9,1984-02-01
1984,MAR,0.2,1984-03-01
1984,APR,0.3,1984-04-01
1984,MAY,0.2,1984-05-01
1984,JUN,0.3,1984-06-01
1984,JUL,0.2,1984-07-01
1984,AUG,0.4,1984-08-01
1984,SEP,0.1,1984-09-01
1984,OCT,-0.3,1984-10-01
1984,NOV,0.3,1984-11-01
1984,DEC,-0.1,1984-12-01
1985,JAN,-0.3,1985-01-01
1985,FEB,1.2,1985-02-01
1985,MAR,0.8,1985-03-01
1985,APR,1.2,1985-04-01
1985,MAY,0.4,1985-05-01
1985,JUN,0.4,1985-06-01
1985,JUL,-0.1,1985-07-01
1985,AUG,1.0,1985-08-01
1985,SEP,0.0,1985-09-01
1985,OCT,-0.4,1985-10-01
1985,NOV,-0.2,1985-11-01
1985,DEC,0.2,1985-12-01
1986,JAN,1.0,1986-01-01
1986,FEB,-1.0,1986-02-01
1986,MAR,0.5,1986-03-01
1986,APR,0.3,1986-04-01
1986,MAY,-0.2,1986-05-01
1986,JUN,1.0,1986-06-01
1986,JUL,0.3,1986-07-01
1986,AUG,-0.4,1986-08-01
1986,SEP,-0.5,1986-09-01
1986,OCT,0.6,1986-10-01
1986,NOV,-1.2,1986-11-01
1986,DEC,-1.4,1986-12-01
1987,JAN,-0.7,1987-01-01
1987,FEB,-1.2,1987-02-01
1987,MAR,1.3,1987-03-01
1987,APR,-1.4,1987-04-01
1987,MAY,-1.3,1987-05-01
1987,JUN,1.1,1987-06-01
1987,JUL,-1.4,1987-07-01
1987,AUG,-0.9,1987-08-01
1987,SEP,-1.0,1987-09-01
1987,OCT,-0.4,1987-10-01
1987,NOV,-0.0,1987-11-01
1987,DEC,-0.5,1987-12-01
1988,JAN,-0.1,1988-01-01
1988,FEB,-0.4,1988-02-01
1988,MAR,0.6,1988-03-01
1988,APR,0.1,1988-04-01
1988,MAY,0.9,1988-05-01
1988,JUN,0.1,1988-06-01
1988,JUL,1.0,1988-07-01
1988,AUG,1.5,1988-08-01
1988,SEP,1.8,1988-09-01
1988,OCT,1.4,1988-10-01
1988,NOV,1.7,1988-11-01
1988,DEC,1.2,1988-12-01
1989,JAN,1.5,1989-01-01
1989,FEB,1.2,1989-02-01
1989,MAR,1.1,1989-03-01
1989,APR,1.6,1989-04-01
1989,MAY,1.2,1989-05-01
1989,JUN,0.7,1989-06-01
1989,JUL,0.9,1989-07-01
1989,AUG,-0.3,1989-08-01
1989,SEP,0.5,1989-09-01
1989,OCT,0.8,1989-10-01
1989,NOV,-0.2,1989-11-01
1989,DEC,-0.5,1989-12-01
1990,JAN,-0.1,1990-01-01
1990,FEB,-1.8,1990-02-01
1990,MAR,0.4,1990-03-01
1990,APR,0.2,1990-04-01
1990,MAY,1.2,1990-05-01
1990,JUN,0.3,1990-06-01
1990,JUL,0.5,1990-07-01
