Year-Month,nzd_188_Average_Value,Value,Smooth_Value
2005-04,355.5778119362005,-0.6,-0.4410444270956974
2005-05,347.8895947293447,-0.8,-0.3135384502021325
2005-06,363.94346435533276,0.4,-0.16538015565207764
2005-07,355.1556301683066,0.2,-0.013518223008094896
2005-08,353.9257004756446,-0.3,0.13393273309931905
2005-10,353.5711345134245,1.2,0.38970794716577833
2005-12,356.7564792837213,-0.0,0.5369056230049934
2006-01,358.6132933045627,1.7,0.5622112936098603
2006-02,353.9533903504047,0.1,0.5369622835610263
2006-03,353.4246347691123,1.8,0.46306982697306853
2006-04,353.2646158179075,1.1,0.33561762227992326
2006-05,344.1214305371272,-0.5,0.1705789018690726
2006-06,350.2668126601068,0.2,-0.004129627220125484
2006-07,353.3335095448323,-0.6,-0.1710690532900162
2006-08,360.40227786208493,-1.0,-0.3096109392176324
2006-09,350.8789788614092,-0.6,-0.4058288939223478
2006-10,362.3437085373061,-1.3,-0.45658385539826235
2006-11,362.88199383073066,0.1,-0.46177068517193903
2006-12,366.29638017702206,-0.3,-0.43446262202934266
2007-01,365.1051668861276,-0.8,-0.3789552378006266
2007-03,355.963734697535,0.2,-0.19869970393797998
2007-04,365.5019557793427,-0.1,-0.08841334100331483
2007-05,358.4142783532257,-0.1,0.03395727690233646
2007-07,351.0661094667287,-0.3,0.3142992847680083
2007-08,354.2905012625833,0.4,0.4739804855248176
2007-09,346.54967064342605,0.2,0.6416602189732884
2007-10,349.9302293929268,0.7,0.8100267345527304
2007-11,347.2203704254981,0.9,0.964867340780995
2007-12,346.41225776860455,1.7,1.0902501784485472
2008-01,348.0225332940194,1.8,1.1692298361461493
2008-02,345.7511720896186,2.6,1.194388243426305
2008-05,355.6442172243391,-0.1,1.0627862825243426
2008-06,355.52376502257823,0.6,1.033196608552622
2008-07,357.49162071846285,0.3,1.0295564652747424
2008-08,350.77956437872047,1.0,1.0484677989903515
2008-09,343.7098767226189,1.2,1.0751332362291797
2008-11,350.90793236154116,1.3,1.0914587331424328
2008-12,352.4792603366133,1.4,1.0571302933044304
2009-01,349.16401684118625,1.1,0.9838863720755224
2009-03,359.9067828043989,0.4,0.7153901072609699
2009-05,349.26304091272135,-0.1,0.34396701995822165
2009-06,358.86506638296345,0.1,0.15365498953761492
2009-07,345.6989707798221,0.2,-0.026218871723666812
2009-09,355.3882160293267,0.3,-0.3208923574140802
2009-10,353.75383363433093,-1.2,-0.41369607643893225
2009-11,354.47363153610524,-0.6,-0.44590304228198885
2009-12,358.10819401444786,-0.7,-0.4091928400015729
2010-01,364.9065155746959,-1.1,-0.29765281962035156
2010-03,360.88861873871537,0.7,0.14285515316050587
2010-04,361.4012440142326,1.2,0.4277672416441795
2010-05,361.7284241683526,0.9,0.7206394833220333
2010-06,363.19435571561604,0.4,1.009355425950357
2010-07,362.545607500085,1.8,1.2846011253585323
2010-08,358.82097241595693,1.8,1.527541458845468
2010-09,355.3144597662399,2.2,1.7273944111263444
2010-10,351.66028144510165,1.7,1.8776351316218827
2010-11,354.16544954185827,1.3,1.979123232078954
2010-12,355.0044673964952,2.9,2.029942775312839
2011-01,357.3602456776683,2.3,2.0175665236375817
2011-02,355.0906776452535,2.7,1.9430618835029676
2011-03,358.7857895686185,2.5,1.811909284426939
2011-04,366.59276248691106,1.9,1.6414163139977094
2011-06,348.0143778969077,0.2,1.2986856492495968
2011-07,357.7914011007912,1.0,1.1740897992620807
2011-08,352.2359223336004,0.4,1.0842299332207863
2011-09,353.2944435777009,1.0,1.02476140396126
2011-10,348.7870098975672,0.8,0.9806484716124718
2011-11,333.91580367639637,1.1,0.9364684993664979
2011-12,351.18180630956834,2.5,0.8739762180464689
2012-01,352.2401577630602,1.1,0.7774815381729151
2012-03,357.2215419776874,0.7,0.5263904621854942
