dates,nzd0100-0000,nzd0100-0001,nzd0100-0002,nzd0100-0003,nzd0100-0004,nzd0100-0005,nzd0100-0006,nzd0100-0007,nzd0100-0008,nzd0100-0009,nzd0100-0010,nzd0100-0011,nzd0100-0012,nzd0100-0013,nzd0100-0014,nzd0100-0015,nzd0100-0016,nzd0100-0017,nzd0100-0018,nzd0100-0019,nzd0100-0020,nzd0100-0021,nzd0100-0022,nzd0100-0023,nzd0100-0024,nzd0100-0025,nzd0100-0026,nzd0100-0027,nzd0100-0028,nzd0100-0029,nzd0100-0030,nzd0100-0031,nzd0100-0032,nzd0100-0033,nzd0100-0034,nzd0100-0035,nzd0100-0036,nzd0100-0037,nzd0100-0038,nzd0100-0039,nzd0100-0040,nzd0100-0041,nzd0100-0042,nzd0100-0043,nzd0100-0044,nzd0100-0045,nzd0100-0046,nzd0100-0047,nzd0100-0048,nzd0100-0049,nzd0100-0050,nzd0100-0051,nzd0100-0052,nzd0100-0053,nzd0100-0054,nzd0100-0055,nzd0100-0056,nzd0100-0057,nzd0100-0058,nzd0100-0059,nzd0100-0060,nzd0100-0061,nzd0100-0062,nzd0100-0063,nzd0100-0064,nzd0100-0065,nzd0100-0066,nzd0100-0067,nzd0100-0068,nzd0100-0069,nzd0100-0070,nzd0100-0071,nzd0100-0072,nzd0100-0073,satname
2006-07-28 22:01:30+00:00,352.9533333,,,368.8730769,369.2485714,368.3811111,363.88,362.5111111,358.06,355.4236364,,,376.6733333,388.8933333,385.6933333,385.75,400.09,394.7833333,397.6333333,382.9211111,359.0936364,370.1736364,376.8815385,,,,395.2136364,384.5815385,402.2566667,403.9033333,387.4415385,370.1933333,364.3133333,379.8433333,384.8233333,400.7336364,407.0633333,,,,392.3833333,388.5736364,389.5236364,384.5536364,380.4833333,388.3936364,385.8115385,399.4433333,412.5833333,414.2733333,400.5733333,385.2633333,,,,373.7236364,372.5536364,371.1033333,374.6242857,391.2242857,410.1033333,451.63,423.9211111,404.0133333,395.4033333,410.9336364,412.6533333,,,,407.7233333,384.8742857,387.91,382.2015385,L7
2006-10-16 22:01:19+00:00,,,364.1533333,394.0561538,395.8628571,393.8488889,388.05,379.8288889,382.49,373.4327273,393.12,401.1127273,,,,408.15,411.16,407.3466667,406.8166667,395.6788889,371.1127273,394.1127273,411.3230769,407.4066667,412.9127273,396.1566667,,,,412.6966667,405.8430769,385.1466667,395.1966667,414.1366667,410.3766667,415.7627273,420.4766667,410.8927273,414.9766667,402.5566667,,,,386.9727273,386.2666667,394.1727273,393.9130769,398.4766667,410.0766667,422.5866667,404.2466667,404.0066667,387.0830769,388.3327273,386.8227273,,,,400.4114286,408.9914286,420.0066667,452.935,430.4288889,415.6766667,413.3066667,424.7027273,424.9266667,418.3330769,413.4630769,414.7027273,,,,,L7
2007-01-04 22:02:01+00:00,370.0866667,357.9327273,375.5033333,388.0015385,403.1571429,398.4122222,385.95,,,,411.49,410.0727273,415.1766667,,424.9066667,421.92,430.29,417.7466667,423.1266667,411.9522222,,,,426.3566667,428.7127273,416.8866667,408.3527273,399.3407692,412.1033333,415.5466667,404.2107692,395.1266667,397.4366667,409.9466667,,,,407.1727273,410.8266667,397.1866667,393.5366667,391.6127273,399.4227273,392.5927273,396.8266667,398.0527273,394.1607692,403.4666667,,,,405.8666667,390.8807692,394.9827273,397.3027273,,,,,,,,,,,,,406.4607692,414.8807692,424.9927273,424.3766667,423.2785714,426.88,420.0007692,L7
2007-01-05 22:00:28+00:00,,,,,,,,,,,,,,,,,,,,,,,,459.7766667,462.0809091,452.0166667,442.9709091,431.6115385,446.2533333,443.8666667,434.3515385,420.8666667,427.6566667,440.2566667,432.0366667,443.6909091,444.2966667,,448.1966667,431.6966667,431.9166667,,437.7309091,425.1109091,422.1666667,424.9609091,424.4815385,430.4666667,443.2066667,451.6866667,433.4066667,404.3866667,,389.7909091,399.5709091,,415.7709091,,,,,,465.9388889,432.3066667,424.0866667,442.8809091,442.7866667,438.0415385,444.9215385,456.7109091,459.4666667,458.6185714,462.5,450.3015385,L5
2007-02-13 22:06:47+00:00,356.4066667,329.32,331.0633333,336.4915385,358.0785714,365.7222222,360.07,351.6522222,352.26,360.91,372.65,373.95,375.8966667,389.0466667,386.4866667,383.36,397.34,378.9166667,385.1466667,375.1322222,357.38,373.74,395.4907692,392.4766667,391.09,379.2066667,369.8,368.5907692,396.4433333,395.8066667,,369.6766667,367.2866667,380.8666667,386.3566667,390.53,387.4666667,382.2,383.9966667,370.4566667,372.5166667,374.31,386.96,381.52,385.4066667,383.07,380.9507692,389.2566667,401.8366667,408.3066667,384.7266667,378.9166667,365.2207692,367.42,369.84,374.84,377.46,388.3166667,384.5942857,398.3642857,408.9266667,449.2,409.9622222,394.6166667,389.7166667,395.14,397.7766667,394.0307692,385.9507692,387.21,385.8966667,384.8542857,398.28,390.9607692,L5
2007-05-12 22:02:11+00:00,,336.1890909,331.5533333,349.1415385,354.0857143,362.3855556,374.58,370.0255556,375.02,387.5290909,394.3,,,,387.8666667,381.27,384.76,387.9166667,397.2466667,386.6355556,362.5990909,401.0990909,411.2107692,400.1566667,,,,373.1007692,394.2133333,393.9566667,,331.2466667,368.4966667,405.3966667,398.2966667,399.8190909,406.1866667,401.0090909,,,,405.0190909,394.9090909,386.2490909,384.2466667,385.6690909,389.5907692,405.2766667,409.6166667,418.6466667,411.8166667,398.0666667,381.3607692,,,,382.2690909,389.9966667,393.0728571,400.6128571,411.0966667,454.815,423.0155556,407.2066667,401.2266667,416.5990909,408.6366667,395.3707692,,,,401.1228571,404.25,396.4607692,L7
2007-05-28 22:02:04+00:00,359.2966667,349.2872727,346.8133333,362.9330769,368.9757143,,,367.8122222,376.28,388.7572727,396.85,394.8372727,389.5366667,409.9066667,401.2666667,392.18,405.79,403.4366667,,,384.4372727,406.2072727,415.4115385,401.9466667,393.6872727,391.0566667,392.3972727,390.0715385,410.3733333,404.5866667,406.0015385,,,,399.3966667,401.2372727,403.9066667,398.9172727,406.0366667,402.8566667,408.9466667,411.0872727,415.2672727,401.4172727,399.6766667,403.4672727,,,412.1466667,418.3866667,409.5166667,403.5766667,382.2615385,390.0972727,392.3672727,392.8372727,386.3272727,394.4166667,397.5028571,409.4828571,426.7166667,,,406.7966667,402.7066667,414.5472727,405.5166667,397.3115385,399.4215385,406.9872727,419.1966667,408.1328571,413.87,399.3315385,L7
2007-11-20 22:01:58+00:00,383.39,379.4390909,375.24,359.3861538,327.6685714,332.55,,,,353.2790909,,354.3990909,355.69,370.9,,353.21,367.71,369.87,372.33,364.13,,,385.0030769,366.19,362.2890909,360.61,356.7290909,359.1730769,381.23,378,356.0030769,343.19,353.6,,,,364.7,355.0790909,365.85,361.1,362.38,359.7790909,377.6390909,366.2090909,352.2,360.0790909,369.2630769,,,,,371.69,360.9130769,364.8690909,357.9190909,365.7590909,364.8690909,371.71,378.5742857,383.2342857,397.6,443.54,403.14,,,,381.67,375.0230769,378.1930769,389.0290909,379.33,368.5142857,378.2,375.4330769,L7
2008-01-23 22:02:09+00:00,,,347.0766667,362.3753846,355.0271429,335.0977778,335.86,333.2077778,335.94,337.2454545,,,,,362.4833333,356.34,363.94,354.8133333,368.8233333,371.0877778,345.8454545,369.8754545,377.7576923,366.2233333,,,,348.1676923,368.8166667,372.5533333,359.9076923,352.1633333,346.9133333,359.3633333,355.3233333,368.6954545,375.1733333,370.5854545,,,,364.9054545,369.0754545,356.6154545,352.4333333,361.0354545,364.8076923,376.0833333,381.7133333,387.2833333,374.2133333,375.5033333,,,,,356.6854545,356.7333333,357.1485714,368.4885714,388.3633333,418.17,397.1477778,387.7433333,378.4933333,381.6954545,384.4933333,,,,,367.3385714,375.01,362.6976923,L7
2008-05-14 22:01:48+00:00,386.61,379.1490909,371.81,389.5361538,391.8585714,398.96,376.82,368.29,365.79,371.8390909,,,,419.3,411.76,387.72,392.9,388.53,386.84,380.41,363.3990909,375.3290909,387.7130769,,,,394.8890909,374.6830769,391.2,387.89,399.0430769,381.45,375.26,388.63,378.18,379.8590909,389.38,,,,390.44,388.7390909,398.2590909,380.7990909,377.73,385.0590909,383.4130769,388.22,394.35,408.42,387.32,,,,,373.8690909,373.1190909,378.16,376.1842857,380.2942857,402.17,452.04,425.15,407.4,384.04,396.8390909,399.76,,,,401.73,385.7342857,384.62,388.1030769,L7
2008-08-18 22:00:56+00:00,,,,,,,,,,,,,,,,,384.78,373.7133333,378.2933333,382.6411111,359.0472727,385.2772727,395.0369231,375.2933333,378.8372727,380.0033333,,,,393.8033333,388.2369231,368.2533333,361.8633333,382.3833333,382.8933333,389.9772727,397.8833333,390.9772727,396.8433333,384.9333333,,,400.6272727,372.4172727,369.2733333,377.0472727,376.7469231,383.7433333,391.2033333,401.4333333,386.4533333,386.3033333,369.2569231,372.9472727,,,,377.2733333,379.5785714,388.2385714,404.2833333,438.465,410.6411111,388.8433333,387.3333333,397.1672727,390.2133333,389.8469231,392.4769231,400.2172727,,,,389.5669231,L7
2008-10-29 21:55:24+00:00,373.3133333,365.98,368.8966667,,,,,,,,,,,,387.2133333,,,,,,,,,,,,,,,,,,,,,,,,,,,401.63,403.75,400.38,402.1433333,407.29,402.4192308,420.3133333,421.5033333,428.1833333,413.0433333,410.1533333,392.0992308,395.33,394.7,399.91,403.31,401.3833333,408.8357143,418.4457143,426.2933333,459.19,427.6677778,410.3333333,401.0533333,407.18,399.3533333,390.6992308,400.2092308,404.86,397.9033333,391.8857143,412.69,405.9892308,L5
2009-02-02 21:57:22+00:00,388.5133333,382.4618182,374.5266667,380.7769231,377.2314286,364.7611111,357.24,367.4711111,371.36,385.0818182,395.37,391.0618182,394.0133333,402.0033333,401.4433333,393.43,398.27,389.0133333,391.1733333,389.3011111,366.0618182,400.5018182,404.1484615,392.5133333,396.9918182,392.7433333,394.0918182,385.1284615,403.3766667,403.7533333,397.4884615,388.4533333,380.7333333,396.5433333,389.5733333,392.6418182,388.6833333,400.0118182,400.1233333,390.5533333,396.2833333,395.1918182,402.6718182,392.8618182,378.4733333,384.2018182,390.3084615,405.5933333,409.7833333,412.4833333,396.3133333,401.3733333,383.0884615,384.8618182,394.6518182,398.7018182,388.9218182,392.2733333,394.9957143,404.7057143,410.7333333,453.735,424.4611111,410.7433333,402.5633333,406.4918182,401.5633333,393.7684615,396.1484615,402.9018182,396.2533333,393.1157143,400.55,390.9284615,L5
2009-06-02 22:02:15+00:00,391.86,391.4027273,377.24,383.7169231,374.7071429,,,,372.7,378.3627273,379.84,392.7227273,401.22,409.72,399.53,384.12,409.27,409.22,,,,403.9027273,412.6384615,389.75,395.1127273,393.75,389.3427273,398.0284615,399.91,392.55,386.7184615,386.34,,,,386.3227273,408.13,393.0127273,401.19,388.58,386.79,416.8827273,411.4527273,391.2327273,384.41,396.2827273,,,406.03,403.57,396.12,390.37,372.3784615,376.0827273,381.7927273,379.4027273,385.3527273,380.9,386.3185714,386.6185714,398.78,,,,401.51,410.1927273,408.22,391.2284615,388.7884615,399.6627273,399.61,381.8385714,377.68,380.9984615,L7
2009-06-18 22:02:13+00:00,397.32,401.4627273,382.9,388.3269231,376.9371429,366.83,,,372.67,372.3927273,377.5,397.7627273,417.75,408.83,385.25,371.63,396.83,403.59,,,,384.3027273,396.8884615,386.78,387.5627273,387.14,395.1627273,385.9384615,390.05,390.36,390.4984615,398.33,,,,384.8627273,414.8,399.8527273,394.82,373.52,380.46,399.4227273,390.8727273,371.7027273,376.24,390.6727273,,,,413.23,382.76,386.26,369.3584615,369.5827273,376.6027273,375.8627273,374.1327273,369.73,383.6185714,393.1785714,402.72,446.535,,,408.47,414.1627273,409.74,393.7184615,389.1184615,400.3627273,399.63,384.6085714,387.64,385.0284615,L7
2009-07-20 22:02:06+00:00,355.5833333,356.5827273,380.5466667,331.1415385,341.72,340.8244444,344.13,327.7944444,,,,,381.8133333,386.3433333,378.1133333,366.64,377.35,383.1833333,398.3533333,378.0944444,351.5027273,372.0727273,383.0807692,,,,372.5027273,365.5007692,383.9466667,383.9633333,384.2707692,366.9633333,358.1733333,373.0633333,371.0833333,377.2427273,385.2933333,,,,376.7533333,379.3727273,380.8227273,365.5627273,364.5433333,367.8627273,375.5207692,385.1833333,396.3333333,399.9933333,383.3733333,,,,374.7927273,364.3627273,365.6527273,373.6633333,382.94,382.73,390.1133333,448.05,413.1244444,403.8833333,394.8333333,399.4727273,392.4333333,,,,385.8633333,377.27,386.99,377.9507692,L7
2009-08-05 22:02:01+00:00,356.95,355.46,354.3,342.93,,,,341.04,349.68,363.89,377.74,382.11,383.91,395.5,381.19,374.17,392.34,,,398.49,372.83,387.33,396.33,378.33,383.74,381.82,385.75,374.96,387,386.96,,,,384.05,378.72,389.23,397.48,390.36,394.37,375.87,389.95,388.57,389.83,375.39,,,,396.06,404.4,399.74,392.12,382.1,366.4,371.79,368.58,368.43,374.34,379.41,378.01,,,,424.22,410.18,400.5,408.23,405.01,397.06,391.11,393.21,392.68,380.68,384.64,379.63,L7
