Year-Month,monthly_anomaly,Value,Smooth_Value
2015-01,2.9517728394827563,-0.8,-0.33506237684231677
2015-02,2.8842306184587128,0.2,-0.1932061770296521
2015-03,-0.23284783787948102,0.7,-0.11830839459686676
2015-04,0.7136649978428774,-0.0,-0.1547789720188033
2015-05,-0.388129044741641,-0.7,-0.28506813776271644
2015-06,-2.236858446187497,0.6,-0.4799067478636654
2015-08,-3.425968194186857,-1.4,-0.9900579081851357
2015-10,-2.2652019334582616,-1.7,-1.2696828233170896
2015-11,-4.744004108446153,-0.5,-1.2901413536444597
2015-12,-3.434293510291399,-0.6,-1.278118396293047
2016-01,-1.495490666896349,-2.2,-1.217248366698978
2016-02,0.46604862385246265,-2.0,-1.039820707944408
2016-03,3.2930756847063614,0.1,-0.7525356971465222
2016-04,5.059180115403003,-1.2,-0.434795339431884
