dates,nzd0330-0000,nzd0330-0001,nzd0330-0002,nzd0330-0003,nzd0330-0004,nzd0330-0005,nzd0330-0006,nzd0330-0007,nzd0330-0008,nzd0330-0009,nzd0330-0010,nzd0330-0011,nzd0330-0012,nzd0330-0013,nzd0330-0014,nzd0330-0015,nzd0330-0016,nzd0330-0017,nzd0330-0018,nzd0330-0019,nzd0330-0020,nzd0330-0021,nzd0330-0022,nzd0330-0023,nzd0330-0024,nzd0330-0025,nzd0330-0026,nzd0330-0027,nzd0330-0041,nzd0330-0042,nzd0330-0043,nzd0330-0044,nzd0330-0045,nzd0330-0046,nzd0330-0047,nzd0330-0048,nzd0330-0049,nzd0330-0050,nzd0330-0051,nzd0330-0052,nzd0330-0053,nzd0330-0054,nzd0330-0055,nzd0330-0056,nzd0330-0057,nzd0330-0058,nzd0330-0059,nzd0330-0060,nzd0330-0061,nzd0330-0062,satname
2022-05-24 21:54:24+00:00,306.5122222,316.3790909,320.1946154,329.02,309.0390909,320.9890909,312.8490909,315.48,321.8146154,332.8166667,325.5866667,338.0566667,323.91,315.4,300.6022222,303.5522222,308.9822222,320.19,333.7390909,332.5690909,336.8790909,332.4366667,332.8966667,332.7446154,325.7866667,326.3690909,340.3990909,344.21,323.62,337.0028571,320.92,328.2028571,316.99,320.09,315.75,314.4528571,337.91,336.9828571,339.27,337.0033333,342.64,357.66,338.7833333,337.9833333,325.2528571,332.5933333,347.7233333,344.2128571,338.77,341.04,L8
2022-05-30 20:33:13+00:00,,,,,,,,,,,,,,,,281.9044444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L7
2022-05-31 22:00:38+00:00,308.1422222,308.8890909,319.8746154,328.08,319.9190909,314.4090909,320.0890909,321.84,320.6346154,327.8466667,334.0066667,330.0566667,321.09,307.23,300.4022222,305.1122222,316.4822222,331.02,327.2490909,326.9090909,329.0290909,329.4166667,338.5966667,327.8446154,315.8166667,325.9190909,329.8990909,340.36,326.87,336.7428571,321.51,328.2328571,318.33,323.23,309.53,316.4628571,332.65,337.2528571,333.44,330.1033333,345.98,357.32,337.5933333,329.6433333,324.0928571,335.9733333,348.1533333,345.7128571,337.94,341.76,L8
2022-06-08 22:00:11+00:00,311.4866667,315.4318182,325.0261538,330.11,327.6818182,319.4418182,324.2018182,330.89,334.1061538,335.41,336.78,331.11,318.7,309.58,309.9066667,324.0866667,332.7766667,335.73,333.7818182,334.8218182,340.4618182,342.03,339.14,328.3261538,315.36,317.8418182,334.8418182,342.78,341.61,345.9285714,335.53,335.3185714,327.03,326.37,321.47,326.7685714,351.24,341.8285714,344.22,346.45,361.1,370.68,346.27,351.38,337.6885714,352.63,359.81,357.9785714,344.21,348.72,L9
2022-06-09 21:54:59+00:00,,,,,,327.7381818,333.2881818,339.05,343.2338462,347,,,,,,,,,,,,,,,321.51,323.1181818,332.7581818,345.82,347.13,346.3214286,330.55,338.1514286,324.56,328.83,318.65,322.8114286,340.84,326.9014286,316.46,305.58,338.63,354.72,341.33,344.74,332.7114286,342.75,355.35,350.1514286,342.64,348.41,L8
2022-06-25 21:55:06+00:00,330.2866667,325.2572727,326.3038462,331.95,330.1272727,321.7672727,325.6572727,327.17,333.1438462,340.61,340.54,327.56,317.73,307.96,311.7966667,319.8466667,322.9366667,321.48,339.9872727,338.6172727,334.8072727,339.89,340.08,333.4838462,327.22,325.6272727,334.9672727,338.16,331.1,344.8685714,329.93,338.0085714,337.47,337.81,326.45,335.6485714,349.71,344.8585714,344.16,335.58,362.73,370.39,354.14,346.59,331.9685714,347.98,344.69,347.6285714,341.79,346,L8
2022-06-28 20:25:42+00:00,,,,,,,,,324.4576923,329.1466667,323.3166667,,,,312.4855556,321.5755556,,,,,,,,,320.3766667,,,,,,,,,,,,,336.5171429,339.05,,,364.98,,,326.3771429,,,,,,L7
2022-07-02 22:00:53+00:00,324.8633333,330.2136364,335.2123077,333.27,317.9036364,327.3536364,326.0536364,330.38,329.2523077,339.53,330.09,328.85,321.33,314.76,323.5233333,326.0533333,332.6733333,335.33,345.3736364,343.0936364,339.7536364,334.75,337.56,330.0723077,333.54,333.1136364,340.6636364,337.76,335.2,353.4671429,334.24,343.0771429,329.74,333.07,323.32,333.7471429,354.02,345.1971429,350.6,347.02,372.21,374.48,363.61,346.85,335.5171429,346.47,359.72,356.8171429,350.5,351.73,L8
2022-07-03 20:31:11+00:00,,318.9490909,,,303.8290909,325.7590909,321.1890909,325.24,318.2261538,341.7833333,330.1333333,,,,,,,339.13,339.9590909,337.7390909,330.3090909,331.0333333,329.3533333,310.4061538,308.9833333,329.5790909,337.6090909,,,,,335.8371429,,317.88,326.6,333.9171429,350.24,333.5571429,326.46,,,,,,343.1071429,343.1766667,,,,,L7
2022-07-15 20:24:31+00:00,,,336.07,338.6,326.3445455,322.6845455,335.2645455,330.26,345.82,340.7966667,340.0666667,,,,,,,339.64,344.0345455,345.4245455,,,,323.46,333.5866667,337.5045455,,,,,,341.0971429,330.58,,,341.6371429,331.95,354.3971429,353.89,356.5033333,,,,,,354.2633333,,,347.32,362.21,L7
