date,coastal,SOI
2005-02-01,0.53702635822908,-3.1
2005-03-01,2.89798177057489,0.3
2005-04-01,1.9311741251091,-0.6
2005-05-01,4.05062672175897,-0.8
2005-06-01,5.46023918780651,0.4
2005-07-01,6.82438028398155,0.2
2005-08-01,6.20045701035918,-0.3
2005-09-01,5.57653373673681,0.4
2005-10-01,3.977159513370151,1.2
2005-11-01,2.32447281589127,-0.2
2005-12-01,2.309602328332358,0.0
2006-01-01,2.2942361578548156,1.7
2006-02-01,2.2788699873772735,0.1
2006-03-01,2.2649908656556224,1.8
2006-04-01,2.24962469517808,1.1
2006-05-01,5.58810643286211,-0.5
2006-06-01,4.87995187965678,0.2
2006-07-01,4.96869855302994,-0.6
2006-08-01,3.69519662490846,-1.0
2006-09-01,2.42169469678698,-0.6
2006-10-01,2.249519044382244,-1.3
2006-11-01,2.0716042035640165,0.1
2006-12-01,1.89942855115928,-0.3
2007-01-01,0.669289831215007,-0.8
2007-02-01,-0.168009610997333,-0.1
2007-03-01,0.2840863713460823,0.2
2007-04-01,0.7846212089405779,-0.1
2007-05-01,1.26900976145138,-0.1
2007-06-01,1.5605152958544937,0.5
2007-07-01,1.842617425922023,-0.3
2007-08-01,2.1341229603251364,0.4
2007-09-01,2.42562849472825,0.2
2007-10-01,0.8675835130835599,0.7
2007-11-01,-0.74239630128262,0.9
2007-12-01,-2.30044128292731,1.7
2008-01-01,-3.91042109729349,1.8
2008-02-01,-5.52040091165967,2.6
2008-03-01,-5.161557500965925,1.4
2008-04-01,-4.777966268845025,0.7
2008-05-01,-4.406748947437702,-0.1
2008-06-01,-4.0231577153168026,0.6
2008-07-01,-3.65194039390948,0.3
2008-08-01,-3.26834916178858,1.0
2008-09-01,-4.25666761695745,1.2
2008-10-01,-5.213104831637001,1.3
2008-11-01,-6.20142328680587,1.3
2008-12-01,-2.49181493412667,1.4
2009-01-01,-3.00434348631617,1.1
2009-02-01,-2.3486036418224003,1.9
2009-03-01,-1.75632249195706,0.4
2009-04-01,-0.7531985791043796,0.8
2009-05-01,0.217566497849827,-0.1
2009-06-01,1.86668814915375,0.1
2009-07-01,4.82889078453657,0.2
2009-08-01,2.36589938319492,-0.2
2009-09-01,3.31573451607973,0.3
2009-10-01,2.50486070935371,-1.2
2009-11-01,1.666957775736822,-0.6
2009-12-01,0.8560839690108013,-0.7
2010-01-01,0.018181035393913803,-1.1
2010-02-01,-0.8197218982229737,-1.5
2010-03-01,-1.57653745116726,0.7
2010-04-01,-1.091732635063044,1.2
2010-05-01,-0.622566683994448,0.9
2010-06-01,-0.20967299664515981,0.4
2010-07-01,0.18990153949931265,1.8
