t,coastal
188,-3.243983024425505
189,-3.354992207036161
190,-3.4660013896468165
191,-3.573429630882935
192,-3.6844388134935913
193,-3.79186705472971
194,-5.272003806497166
195,-6.752140558264622
196,-8.089038269538454
197,-9.56917502130591
198,-7.39128304902348
199,-6.0660333783331
200,-4.25629179424686
201,-2.38622549069108
202,-2.9344308143568383
203,-3.464952095323701
204,-4.01315741898946
205,-4.543678699956323
206,-5.0918840236220815
207,-5.64008934728784
208,-4.16459966743416
209,-6.5164251302408
210,-4.31946971569715
211,-2.3237490162536583
212,-0.392406403888989
213,-0.053579990334821026
214,0.285246423219347
215,6.21201557220188
216,4.685392400828463
217,3.208015138209027
218,1.68139196683561
219,2.52879912639972
220,6.14622816556123
221,4.71657362710164
222,5.24389772017116
223,1.23917802129024
224,-0.30562345354170595
225,-1.90191831086805
226,-3.2576056316905904
227,-4.5695611034543395
228,-5.92524842427688
229,-5.005578617601978
230,-4.05525315070458
231,-3.751608348439568
232,-3.46755353341746
233,-1.9928515329750298
234,-0.565720564804936
235,2.169250845074827
236,4.81599737076492
237,4.38591706711783
238,4.1148524789303735
239,3.8525319097167063
240,3.58146732152925
241,7.14271205483633
242,4.70763206646995
243,3.57620644314192
244,3.7329956068130623
245,3.90658360944897
246,7.34177012977262
247,9.04307926776794
248,12.9689703179336
249,10.8535604299722
250,11.0839976565359
251,13.8458415913787
252,6.90638048032514
253,7.900556152237519
254,8.927871013213645
255,9.95518587418977
256,11.859640225578849
257,13.9681432574739
258,16.133373044086
259,13.6650966272097
260,13.665979354250373
261,13.666891505525737
262,13.6678036568011
263,10.430070625933448
264,7.08441316070354
265,4.659253451557831
266,2.1532550854405983
267,-0.352743280676635
268,-6.50344186506459
269,-9.52705008897774
270,-12.4531225637324
271,-15.7368772090681
272,-15.0773091891684
273,-17.0286709799805
274,-14.5413208567356
275,-6.45572762943861
276,-8.44644004407428
277,-6.779480098823656
278,-5.05695482206468
279,-4.21733114811964
280,-1.60178930552784
281,-4.68242651920205
282,-5.82127569298689
283,-4.2219246477513215
284,-2.6741655717169
285,-3.06543400081973
286,-0.0752637105142186
287,0.9788808025906315
288,2.06816346613231
289,3.12230797923716
