Year-Month,dates,monthly_anomaly,nzd0100_Average_Value,Value,Smooth_Value
2014-08,2014-08-03 22:09:27.000000000,372.7541489621489,378.00458792984574,-0.7,-0.3988286111841932
2014-10,2014-10-06 22:09:44.000000000,364.90648389275515,376.2987261662863,-0.6,-0.6265284917809214
2014-12,2014-12-01 22:12:00.000000000,384.3431885215478,376.34012876733357,-0.6,-0.49894757388917593
2015-01,2015-01-10 22:10:23.000000000,378.27729525020436,377.10973299731677,-0.8,-0.3333806716881643
2015-02,2015-02-27 22:10:40.000000000,380.8241642839919,378.4777049821449,0.2,-0.1534019416368714
2015-04,2015-04-24 22:11:08.000000000,376.628666971167,380.44393998693636,-0.0,-0.08987393402302611
2015-05,2015-05-06 22:11:00.000000000,382.78151887931654,385.0293913353727,-0.7,-0.2335074299467616
2015-06,2015-06-11 22:11:04.000000000,391.98163669663677,390.43735377923446,0.6,-0.4463755347276647
2015-07,2015-07-19 06:11:29.666666752,394.8648610617588,395.232836786168,-1.1,-0.7420414647596683
2015-11,2015-11-02 22:11:55.000000000,408.4051141276141,396.0901396496735,-0.5,-1.3095166165876693
2015-12,2015-12-20 22:11:57.000000000,404.09624054028166,393.74293475768997,-0.6,-1.305346200399005
2016-01,2016-01-29 22:13:36.000000000,373.5902307877308,390.2285621995915,-2.2,-1.2651127181556319
2016-02,2016-02-22 22:11:42.000000000,384.82899588995474,387.45181472701546,-2.0,-1.0876905989497747
2016-03,2016-03-17 22:11:36.000000000,386.7706324831325,384.75645468515893,0.1,-0.7758306365230323
2016-04,2016-04-02 22:13:58.000000000,375.72849874484496,383.72243404321756,-1.2,-0.4336513358448057
2016-05,2016-05-12 22:11:20.000000000,396.57038234913233,384.7159604366882,0.4,-0.0679566867152706
2016-07,2016-07-23 22:14:24.000000000,375.8331713788856,386.3487519286025,0.4,0.4181584788186321
2016-08,2016-08-16 22:11:53.000000000,385.3542409542409,389.2620114884974,0.7,0.49985063513682126
2016-09,2016-09-05 22:13:15.500000000,394.6217280119944,394.657751427986,1.2,0.47358862356352743
2016-11,2016-11-20 22:12:09.000000000,411.7545799036644,399.1301204106715,-0.1,0.26372048564007655
2016-12,2016-12-14 22:14:15.000000000,394.77420935937886,400.18863285340655,0.3,0.21101723341887416
2017-01,2017-01-31 22:13:49.000000000,405.6243072403786,399.9958168596656,0.2,0.19103979911114777
2017-04,2017-04-29 22:11:06.000000000,405.67516584864416,398.38339074154226,-0.2,0.280014897677679
2017-05,2017-05-15 22:14:17.500000000,387.2032103265509,394.67339526308456,0.3,0.35136107129879346
2017-06,2017-06-08 22:14:24.000000000,394.2061458943356,392.17125538293493,0.4,0.4424523108232098
2017-07,2017-07-10 22:11:37.500000000,393.64420627878803,391.05796120941693,0.8,0.5328873291739427
2017-08,2017-08-03 22:11:47.000000000,382.53423977673975,390.0013048113226,0.5,0.5975479158492067
2017-09,2017-09-20 22:11:58.000000000,400.4273892388476,389.3222269766709,0.6,0.6409950459945556
2017-11,2017-11-15 22:14:24.000000000,376.0356567622193,388.3425979992532,0.9,0.6345832029009013
2018-01,2018-01-18 22:11:49.500000000,394.9191561795631,387.6191217070167,1.1,0.5690578231227104
2018-03,2018-03-07 22:13:06.000000000,374.7656603166948,387.3038836515687,1.5,0.532534550132811
2018-04,2018-04-16 22:12:02.666666752,390.5124246788203,391.2579775476433,0.5,0.4573672413462131
2018-05,2018-05-18 22:10:46.000000000,407.7656877844378,394.47656238169776,0.4,0.33491393758943433
2018-06,2018-06-27 22:11:16.000000000,391.0888267556816,393.48108094627344,0.1,0.18977399223850425
2018-07,2018-07-05 22:10:54.000000000,396.4881007131007,391.51183686740103,0.2,0.05377854338173889
2018-08,2018-08-18 22:10:37.000000000,381.96327771141904,388.4774476981209,-0.3,-0.05121615891904681
2018-09,2018-09-07 22:11:24.000000000,384.99604325854324,387.81134755776793,-0.9,-0.08710703608889718
2018-10,2018-10-09 22:11:37.000000000,393.0874400291067,389.13108820637217,0.4,-0.04343365856185173
2019-01,2019-01-05 22:06:53.000000000,388.2367933231643,391.13780048287043,-0.0,-0.04766125410163622
2019-02,2019-02-14 22:11:33.000000000,392.8024266129351,393.6998095734843,-1.4,-0.11230309543137362
2019-03,2019-03-02 22:11:29.000000000,397.80858981858984,396.3631065355793,0.3,-0.10816323054748654
2019-05,2019-05-29 22:02:00.000000000,405.10508586783584,398.5739732086814,-0.4,-0.127176368136431
2019-06,2019-06-18 22:06:33.000000000,402.0556824208386,400.36547996551013,0.5,-0.17634460035407948
2019-08,2019-08-17 22:11:57.000000000,401.74654564654566,401.35526983079984,-0.1,-0.40820661804652036
2019-09,2019-09-14 22:04:47.000000000,395.1465110113237,403.074930745731,-1.2,-0.5173092162408076
2019-10,2019-10-04 21:56:51.000000000,418.03601731601736,406.1827293309758,-0.4,-0.5471145476762779
2019-11,2019-11-21 21:54:43.000000000,400.76569953855665,408.1801670551648,-0.8,-0.508857104192848
2019-12,2019-12-31 22:12:02.000000000,409.52723043805014,410.23037821866063,-0.6,-0.39742531677751464
2020-01,2020-01-24 21:51:31.000000000,408.87850737604833,411.8598150480936,0.2,-0.24005682706251363
2020-02,2020-02-25 21:49:52.000000000,418.28364977399866,412.51680223891464,-0.1,-0.08649757481591265
2020-04,2020-04-21 22:11:21.000000000,419.88266219516225,411.3184080785697,0.2,0.2042900007627035
2020-05,2020-05-07 22:11:12.000000000,419.3440033379319,408.02246169173645,0.4,0.3409939001758815
2020-06,2020-06-20 21:57:27.000000000,390.87507514029835,401.28594448293507,0.4,0.47386331699647277
2020-07,2020-07-14 21:57:04.500000000,396.219832392107,396.71492861021375,0.4,0.6108044000940398
2020-08,2020-08-27 22:11:56.000000000,405.47827656820306,396.4113058810615,1.1,0.7515162631163153
2020-10,2020-10-14 21:35:48.000000000,390.2157173172223,397.10901382592454,0.5,0.9880783542489803
2020-11,2020-11-15 22:12:06.000000000,398.5918942468943,398.46902022148106,0.7,1.117002739098148
2021-02,2021-02-15 21:49:34.000000000,406.4516273933182,397.1643798267313,1.5,1.0997562773974847
2021-05,2021-05-22 21:45:30.000000000,386.7813058941059,388.25391686390014,0.5,0.6755091794597552
2021-06,2021-06-15 21:44:13.500000000,372.9173215872408,379.68798978602024,0.4,0.6715238919175364
2021-07,2021-07-17 21:42:55.000000000,375.8141234241406,380.2042168132795,1.4,0.7158135088531101
2021-10,2021-10-13 21:39:39.000000000,394.0564568195639,386.19937305817666,0.7,0.8727446722101718
2021-11,2021-11-15 21:37:54.249999872,391.15850453243996,391.234623809115,1.0,0.9620993770444536
2022-01,2022-01-19 05:47:21.333333248,386.9545121406264,388.90654516325725,0.5,1.1437145024463862
2022-02,2022-02-18 22:11:55.500000000,391.0283206321936,387.7078119535031,1.1,1.2618640822871579
2022-04,2022-04-03 20:50:05.000000000,387.57208381224507,388.07704530198953,1.7,1.436733270911948
2022-05,2022-05-05 22:11:31.000000000,382.40532055663635,388.29044814265706,1.4,1.4366394442482766
2022-06,2022-06-24 05:42:02.000000000,389.7634996700081,388.14938527684325,1.7,1.4009145967429764
2022-07,2022-07-24 13:08:34.999999744,386.88521993897,386.19237026062865,0.8,1.3498415885888282
2022-08,2022-08-11 20:32:43.000000000,382.64085845900127,384.58885669636413,1.0,1.336934991451615
2022-09,2022-09-20 21:20:50.000000000,382.42055049398596,383.134611544962,1.6,1.3546158671539186
2022-10,2022-10-15 08:31:49.000000000,381.12554148216736,381.394659757163,1.7,1.3578680562459173
2023-02,2023-02-09 22:12:09.000000000,385.7356318263168,381.0632719998568,1.4,0.8846161876186638
2023-03,2023-03-16 17:13:21.666666496,384.3662995028144,384.26519334533265,0.2,0.5430247396920351
2023-04,2023-04-09 20:13:47.000000000,382.02420116920115,383.347343877796,0.2,0.19865823808640243
2023-05,2023-05-21 03:09:19.249999872,378.6548296920023,376.6499985704509,-1.0,-0.10443648249846854
2023-06,2023-06-09 22:11:12.000000000,368.13505699547375,368.12889372658685,0.3,-0.3220635027057483
2023-07,2023-07-28 09:04:59.500000000,342.84720882059116,365.18303931834737,-0.3,-0.509533960678775
2023-08,2023-08-22 05:26:49.666666496,387.5360151430564,376.29328373418303,-0.8,-0.6530408275935833
2023-09,2023-09-15 19:51:48.000000000,390.52788229627515,388.1879374787366,-1.3,-0.7154955234396758
2023-10,2023-10-12 19:48:46.000000000,393.1612611025339,392.3566434385909,-0.5,-0.6761382651406032
2023-11,2023-11-08 22:11:57.000000000,386.3494284254558,395.3767964596206,-0.8,-0.5791542114599506
2024-02,2024-02-04 22:12:07.000000000,402.1765162803299,397.4260433153525,-1.4,-0.25905318798012544
2024-03,2024-03-15 22:11:37.000000000,414.3342671138385,397.67898988662836,0.4,-0.14907111494633202
2024-04,2024-04-16 22:11:19.000000000,390.2930560439561,395.8380723837318,-0.2,-0.060783999339707497
2024-05,2024-05-14 22:11:09.500000000,386.61727393477395,392.4634679398761,0.5,0.01138694262068293
2024-06,2024-06-19 22:10:59.500000000,393.5934086605542,389.7777222815104,0.0,0.057552050197961835
2024-08,2024-08-14 22:11:27.500000000,387.3298751912451,389.62187293831505,0.9,0.24307280584671428
2024-11,2024-11-22 22:11:59.500000000,390.4785680627616,393.3593487245304,0.5,0.6510308429865855
2024-12,2024-12-28 22:11:50.000000000,395.42744922505193,397.1806095448534,1.2,0.7449139280467446
