dates,nzd0237-0000,nzd0237-0001,nzd0237-0002,nzd0237-0003,nzd0237-0004,nzd0237-0005,nzd0237-0006,nzd0237-0007,nzd0237-0008,nzd0237-0009,nzd0237-0010,nzd0237-0011,nzd0237-0012,nzd0237-0013,nzd0237-0014,nzd0237-0015,nzd0237-0016,nzd0237-0017,nzd0237-0018,nzd0237-0019,nzd0237-0020,nzd0237-0029,nzd0237-0030,nzd0237-0031,nzd0237-0032,nzd0237-0033,nzd0237-0034,nzd0237-0035,nzd0237-0036,nzd0237-0037,nzd0237-0038,nzd0237-0039,nzd0237-0040,nzd0237-0041,nzd0237-0042,nzd0237-0043,nzd0237-0044,nzd0237-0045,nzd0237-0046,nzd0237-0047,nzd0237-0048,nzd0237-0049,nzd0237-0050,nzd0237-0051,nzd0237-0052,nzd0237-0053,nzd0237-0054,nzd0237-0055,satname
2003-11-18 21:54:39+00:00,351.7,358.98,359.18,356.4614286,348.83,339.4714286,,,333.0933333,323.2233333,314.12,306.81,316.57,324.33,320.87,306.09,301.44,309.38,317.7414286,317.53,,353.6736364,359.3636364,373.13,372.7136364,359.66,,,363.72,382.16,389.24,369.6333333,353.2133333,342.88,346.0114286,351.2533333,356.7014286,351.95,345.09,,,,345.28,345.43,366.82,376.8533333,385.15,391.7833333,L7
2003-12-04 21:54:43+00:00,340.06,359.13,363.19,353.5028571,344.72,340.7528571,340.9528571,334.2528571,,,303.21,303.69,309.41,320.29,310.33,300.7,300,305.39,311.6628571,327.78,325.8928571,351.3527273,356.4727273,368.67,370.8427273,363.82,351.3,,,,383.02,374.15,362.02,350.1,346.5628571,349.94,358.5228571,354.12,335.8,325.72,335.5428571,,,,350.99,374.43,374.09,383.57,L7
2004-03-01 21:45:02+00:00,341.7,355.83,359.33,352.5985714,346.89,339.6085714,335.6385714,330.9685714,329.81,305.83,289.56,295.01,303.49,323.43,328.9,323.57,307.57,307.12,303.2085714,316.78,322.3385714,355.8936364,366.6236364,363.29,352.1736364,354.33,353.7,351.99,351.68,357.71,357.65,361.1,366.7,364.91,367.1185714,359.94,347.2185714,336.82,328.72,331.08,,,,,,,,,L5
2004-03-09 21:55:15+00:00,362.93,356.1566667,,,,345.7,350.64,351.21,332.8877778,312.5977778,306.63,304.36,300,311.48,321.94,313.77,,,313.81,326.4466667,323.13,352.0581818,,,358.5781818,356.7,362.4677778,362.66,361.49,364.38,362.37,356.7977778,360.2277778,374.96,372.13,,,,344.59,339.1777778,348.4,334.65,346.98,364.85,351.6,352.6877778,354.62,354.5177778,L7
2004-03-17 21:45:08+00:00,337.27,349.7466667,356.9366667,341.0814286,332.17,337.2814286,340.1214286,333.7814286,320.3944444,309.4644444,294.47,285.98,284.98,302.47,313.15,305.29,297.78,294.14,297.4314286,315.1066667,314.3314286,342.7281818,346.4281818,351.1533333,355.4281818,352.06,350.5144444,354.12,347.38,350.82,349.7,344.5844444,351.3744444,359.29,359.3814286,346.1744444,340.8214286,329.71,336.34,329.6044444,333.4214286,328.6614286,337.78,358.3,346.76,353.6944444,347.78,343.5544444,L5
2004-03-25 21:55:18+00:00,,,338.43,332.6257143,332.1,330.6657143,328.5257143,329.5857143,322.6233333,314.1533333,310.94,288.23,277.27,,,,301.01,290.68,290.8457143,298.27,,,330.5172727,335.5,334.5672727,331.56,329.4833333,337.59,335.34,340.48,349.07,351.1433333,355.3533333,,,,352.1857143,337.13,331.98,320.0633333,325.7657143,310.4457143,321.12,328.88,324.26,347.5433333,348.36,,L7
2004-04-18 21:45:49+00:00,355.51,355.0666667,360.4966667,350.38,350.76,350.99,344.87,343.96,325.2711111,321.9011111,320.44,303.21,298.26,296.55,308.69,315.88,323.36,316.35,325.18,330.1366667,323.58,351.1345455,356.9245455,358.5033333,357.5145455,363.92,369.1311111,364.17,364.42,363.12,360.99,351.7611111,350.9711111,356.3,369.59,364.7511111,374.1,365.62,368.86,366.9311111,363.76,338.35,346.49,362.02,353.87,361.9411111,366.41,365.8611111,L5
2004-05-04 21:46:16+00:00,339.04,328.44,345.3,336.14,326.19,325.11,324.6,328.72,312.1133333,307.5133333,312.25,302.45,285.38,287.06,288.63,287.81,292.12,280.57,280.79,287.32,,330.6754545,339.4954545,338.73,345.6254545,340.38,354.5833333,365.78,363.21,358.12,358.27,351.7033333,347.0533333,351.78,354.15,338.4433333,341.44,321.06,347.24,340.3633333,349.27,317.67,324.3,357.13,346.03,354.1733333,353.92,346.4833333,L5
2004-05-12 21:55:13+00:00,337.67,341.7933333,335.4833333,332.6942857,336.2,331.8442857,334.1742857,,,320.7622222,308.73,306.52,300.46,290.21,301.24,299.28,309.37,303.95,311.6342857,315.9133333,,348.1809091,346.7909091,352.7966667,345.7309091,337.19,,,357.58,352.9,353.54,341.5122222,339.1322222,344.74,356.4942857,361.7522222,354.1442857,349.46,359.19,353.4022222,,,,340.08,363.78,357.6322222,372.88,369.5322222,L7
2004-06-05 21:47:12+00:00,304.73,306.7666667,318.5666667,328.3828571,328.68,312.2128571,307.6528571,311.7228571,307.8544444,298.2344444,297.12,286.37,280.02,280.79,,,,,,,,,323.2945455,333.4933333,318.1545455,306.88,,,,,,,,,,,,,333.29,338.6244444,351.0728571,,339.04,312.26,,318.3044444,339.7,330.0244444,L5
2004-07-23 21:48:33+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,351.36,348.2128571,,334.4628571,332.98,,,,,,,,,,,L5
