dates,nzd0121-0091,nzd0121-0092,nzd0121-0093,nzd0121-0094,nzd0121-0095,nzd0121-0096,nzd0121-0097,nzd0121-0098,nzd0121-0099,nzd0121-0100,nzd0121-0101,nzd0121-0102,nzd0121-0103,nzd0121-0104,nzd0121-0105,nzd0121-0106,nzd0121-0107,nzd0121-0108,nzd0121-0109,nzd0121-0110,nzd0121-0111,nzd0121-0112,nzd0121-0113,nzd0121-0114,nzd0121-0115,nzd0121-0116,nzd0121-0117,nzd0121-0118,nzd0121-0119,nzd0121-0120,nzd0121-0121,nzd0121-0122,nzd0121-0123,nzd0121-0124,nzd0121-0125,nzd0121-0126,nzd0121-0127,nzd0121-0128,nzd0121-0129,nzd0121-0130,nzd0121-0131,nzd0121-0132,nzd0121-0133,nzd0121-0134,nzd0121-0135,nzd0121-0136,nzd0121-0137,nzd0121-0138,nzd0121-0139,nzd0121-0140,nzd0121-0141,nzd0121-0142,nzd0121-0143,nzd0121-0144,nzd0121-0145,nzd0121-0146,nzd0121-0147,nzd0121-0148,nzd0121-0149,nzd0121-0150,nzd0121-0151,nzd0121-0152,nzd0121-0153,nzd0121-0154,nzd0121-0155,nzd0121-0156,nzd0121-0157,nzd0121-0158,nzd0121-0159,nzd0121-0160,nzd0121-0161,nzd0121-0162,nzd0121-0163,nzd0121-0164,nzd0121-0165,nzd0121-0166,nzd0121-0167,nzd0121-0168,nzd0121-0169,nzd0121-0170,nzd0121-0171,nzd0121-0172,nzd0121-0173,nzd0121-0174,nzd0121-0175,nzd0121-0176,nzd0121-0177,nzd0121-0178,nzd0121-0179,satname
2005-09-03 21:59:56+00:00,391.6657143,390.4057143,381.2966667,378.58,385.5,354.6566667,358.25,345.8066667,345.8657143,340.6657143,325.2557143,326.2366667,330.3166667,320.1766667,315.5857143,310.1457143,313.9466667,300.1566667,301.4357143,299.0357143,293.0966667,273.1657143,279.49,272.0711111,263.1857143,263.9257143,277.32,272.45,265.78,269.4,263.66,247.81,246.19,251.8757143,237.85,231.66,235.6911111,233.85,221.83,229.71,227.3611111,220.98,229.04,225.6311111,228.15,223.2757143,223.8711111,211.3611111,215.1,222.07,216.62,216.03,212.6111111,211.4611111,208.7311111,211.1011111,209.3111111,213.4111111,209.55,217.2411111,223.4211111,230.1311111,234.67,234.9811111,236.4311111,233.6311111,231.91,231.53,223.4,235.1211111,239.5311111,242.0711111,237.1311111,242.3211111,235.6211111,226.3311111,227.7311111,237.53,247.7511111,247.7511111,248.6011111,252.2411111,261.51,264.1654545,265.17,262.6154545,264.04,261.2811111,261.4611111,L5
2005-11-22 22:00:23+00:00,397.6085714,398.2385714,395.34,383.7,359.61,362.02,370.84,366.94,363.9685714,355.3085714,353.2385714,349.46,342.54,337.58,330.3385714,323.3185714,322.79,321.42,324.0385714,313.2285714,309.21,303.0785714,295.98,290.2766667,290.8685714,296.8085714,306.33,310.31,297.47,285.49,268.42,263.14,261.7,269.0085714,263.03,251.66,251.4266667,256.91,256.38,247.79,250.7166667,253.75,261.41,253.5166667,235.71,229.9985714,227.0466667,232.1266667,245.86,251.23,240.65,233.55,226.3166667,227.2966667,231.3166667,236.3266667,235.4666667,234.8966667,234.53,238.7766667,244.5866667,249.1166667,251,254.2566667,253.9066667,247.0266667,240.77,241.15,252.92,253.8766667,254.5166667,249.0666667,240.4266667,241.8066667,247.6866667,254.6666667,263.4566667,264.83,266.0166667,275.8566667,283.1666667,281.6966667,271.85,267.5072727,265.66,269.4272727,265.59,264.3766667,268.7566667,L5
2005-11-30 22:01:24+00:00,378.7242857,379.5342857,376.1766667,371.64,375.76,366.5366667,353.87,362.7466667,349.1842857,343.7342857,332.1142857,325.5166667,320.3266667,315.2866667,309.4942857,306.7542857,306.1966667,302.2066667,303.6442857,301.6442857,298.1466667,276.2642857,277.39,261.2511111,272.2742857,277.1942857,275.34,271.69,264.28,254.61,248.95,240.64,241.12,244.6242857,237.97,233.14,231.5311111,227.18,240.5,236.77,236.5711111,234.05,230.61,228.7511111,227.15,225.6342857,215.7511111,216.4211111,218.65,227.24,227.7,224,219.3911111,220.1611111,227.0211111,223.8711111,225.3811111,222.0011111,217.87,219.8211111,224.1911111,228.3611111,229.53,230.1511111,231.2011111,231.4911111,235.03,242.37,242.68,242.9811111,257.9911111,248.5011111,243.4311111,236.7511111,236.3311111,244.6311111,252.0311111,251.67,256.1311111,258.3011111,267.2711111,268.9411111,266.99,265.4390909,267.6,266.3590909,269.79,267.0911111,272.2011111,L7
2006-04-07 22:01:51+00:00,361.4642857,369.2342857,365.8166667,341.63,345.04,349.9466667,329.54,320.7366667,323.7442857,321.2142857,312.3742857,303.1866667,303.7266667,301.7866667,299.0242857,290.0842857,282.4366667,282.2166667,285.2742857,275.6542857,270.7966667,260.6442857,256.1,266.9711111,260.3542857,262.8742857,261.93,244.07,243.22,236.01,234.21,229.36,236.8,238.9342857,231.47,224.14,217.8411111,207.67,209.21,206.11,209.4611111,209.49,211.37,209.9611111,207.49,195.4942857,197.5811111,192.1511111,193.16,197.95,198.41,198.3,203.3011111,202.7011111,202.6911111,204.0711111,203.8011111,205.0211111,207.52,208.7811111,213.0911111,214.3211111,213.37,213.4911111,211.8011111,219.6211111,217.54,217.81,225.94,223.0511111,228.4711111,227.8711111,219.2511111,220.7711111,225.0611111,,,230.96,235.5011111,243.2211111,250.7311111,255.6011111,252.56,242.01,244.04,250.62,248.43,251.7111111,260.3211111,L7
2006-04-15 22:03:30+00:00,392.4928571,388.9928571,390.1033333,382.24,391.33,383.0733333,359.3,352.6333333,352.8528571,349.5728571,328.2928571,328.2533333,330.5833333,331.0833333,330.0828571,318.6228571,314.1233333,305.4733333,313.0528571,302.5328571,299.1333333,290.1128571,288.84,276.8322222,264.6828571,269.4528571,267.82,257.06,254.27,259.51,260.78,249.36,243.96,250.6828571,239.03,233.9,228.5522222,226.89,228.83,225.49,224.5922222,223.49,217.41,210.6122222,216.93,215.2828571,202.2322222,195.7722222,204.11,218.88,211.01,214.3,217.5322222,217.5822222,216.3022222,216.8422222,219.9522222,219.9522222,213.54,222.2522222,225.8722222,214.3922222,224.77,229.4322222,234.6922222,235.2522222,233.74,239.37,238.69,242.6922222,250.5622222,251.6222222,244.2822222,244.9722222,244.2822222,248.8622222,256.8322222,260.26,265.3722222,264.4922222,265.2822222,264.6522222,262.25,262.8881818,268.59,266.8781818,267.9,271.8422222,275.1422222,L5
2006-06-02 22:04:12+00:00,402.7871429,388.7571429,385.8533333,380.41,382.25,378.2133333,377.98,382.2933333,361.8271429,344.1271429,340.7471429,329.3233333,330.0533333,323.9833333,320.0471429,323.3971429,321.8233333,321.5433333,317.3271429,319.3271429,315.3333333,320.5371429,303.73,289.7622222,284.6671429,275.5371429,280.99,293.83,283.66,268.49,271.23,278.76,281.65,265.9271429,255.97,255.17,252.6722222,263.19,255.13,248.18,251.9222222,239.22,231.31,221.8122222,223.42,238.2971429,252.1522222,245.3722222,230.77,222.34,232.74,223.35,218.2722222,227.0822222,235.4222222,227.0622222,228.0722222,225.1122222,233.51,255.7122222,243.6622222,237.5422222,229.93,235.1322222,236.4522222,242.7122222,249.81,261,246.05,227.9022222,226.1022222,246.9322222,256.4722222,253.9222222,252.4622222,247.7722222,256.2422222,268.3,270.6522222,275.3922222,272.6922222,283.9722222,265.63,255.7936364,268.28,279.9436364,269.34,268.3722222,281.3722222,L5
2006-06-26 22:01:44+00:00,,,,,,,,,,,,,,,,307.6028571,316.6833333,306.7333333,,,,,,,,,,,264.71,265.06,263.83,257.41,257.73,257.6128571,256.18,252.26,242.8322222,238.68,240.73,236.4,233.6522222,230.07,225.07,221.3222222,222.12,224.0428571,214.0522222,222.8822222,222.79,222.82,215.3,215.28,216.3422222,220.3122222,221.2122222,221.4222222,221.6722222,226.0222222,220.9,223.0022222,226.7122222,229.3622222,228.03,224.1522222,229.6022222,232.8822222,238.79,247.91,245.46,245.3422222,240.7922222,234.5122222,231.0422222,236.8422222,245.1722222,246.9122222,249.4822222,245.88,252.4522222,248.8822222,256.3122222,255.5722222,261.05,264.6081818,267.9,265.5481818,264,266.3722222,272.7022222,L7
2006-07-28 22:01:30+00:00,,,,,,,344.68,345.12,345.8985714,340.2485714,333.7685714,330.08,324.64,,,,,,,,,,,,,,,,,,253.02,251.32,249.17,244.7685714,251.62,238.71,236.29,234.9,228.84,234.29,230.63,230.38,230.14,226.22,225.45,224.0285714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L7
2006-11-25 22:06:43+00:00,421.8028571,416.3028571,409.1866667,399.01,396.13,386.7466667,380.24,385.5966667,370.3028571,369.4428571,367.7928571,359.3766667,362.2366667,356.5866667,347.0328571,336.5628571,341.4166667,336.8566667,335.7628571,334.5728571,334.2966667,323.7628571,321.22,314.1544444,307.5328571,299.1828571,293.67,292.29,298.58,307.29,302.09,293.13,287.26,285.7828571,281.07,280.31,282.8744444,276.98,271.54,267.96,257.4044444,259.04,254.18,252.7844444,252.88,248.9028571,247.9344444,242.5244444,242.02,252.21,274.68,,267.5544444,264.2944444,257.1044444,249.2644444,246.9544444,248.4444444,256.6,261.0544444,260.4444444,257.0444444,245.87,245.2844444,242.1344444,252.3144444,267.66,287.83,284.4,282.0544444,278.9244444,275.1244444,273.2044444,280.5744444,287.9744444,293.2244444,294.1944444,281.22,276.5144444,285.2844444,288.8044444,297.1244444,296.18,296.93,290.93,,,309.0044444,314.7844444,L5
2007-01-04 22:02:01+00:00,394.7785714,389.9885714,381.6933333,376.94,392.15,372.1933333,370.06,364.4033333,360.7385714,353.8685714,354.0185714,353.0233333,357.1333333,342.6733333,338.1885714,327.7185714,326.1233333,311.2133333,301.4085714,303.9985714,307.3933333,302.6785714,295.35,279.0855556,268.4285714,265.6985714,259.73,260.35,261.09,269.82,278.24,275.97,262.76,262.4985714,251.65,241.57,245.5055556,243.86,247.19,243.01,234.2955556,237.1,231.49,225.1755556,228.81,232.6385714,228.8855556,227.0455556,231.42,230.3,235.33,229.89,239.3655556,233.9555556,229.0355556,229.6055556,229.1055556,220.6555556,221.07,229.2055556,227.4255556,226.4155556,223.21,227.4255556,223.8655556,229.9555556,239.99,245.66,247.67,253.2655556,252.7555556,253.4855556,249.2955556,247.1755556,253.7455556,260.3155556,263.9955556,253.23,251.9355556,250.5955556,252.3555556,262.9055556,273.15,273.4454545,275.44,271.5854545,270.78,280.8355556,283.3355556,L7
2007-02-13 22:06:47+00:00,434.1,425.88,402.9566667,395.78,390.94,379.8066667,380.91,392.9166667,388.82,381.12,371.36,366.6866667,369.7166667,368.2966667,364.13,353.97,345.1966667,332.2066667,327.02,323.13,319.8666667,322.82,335.17,,,288.42,273.33,273.81,281.27,292.78,298.53,299.63,296.04,291.24,290.93,278.5,262.6144444,261.72,265.41,271.01,272.8144444,267.75,265.04,254.9544444,256.08,253.97,252.6844444,251.4244444,246.51,248.47,250.3,254.37,259.4044444,262.0244444,256.9244444,251.3644444,248.9844444,247.3844444,247.46,248.5744444,254.5044444,249.2044444,245.87,242.8244444,245.2644444,250.8044444,251.9,255.55,266.65,274.8544444,276.4644444,277.9144444,280.2544444,276.7944444,278.1944444,273.9944444,274.8644444,270.82,272.0744444,260.6644444,264.3044444,277.4144444,284.58,289.4772727,291.29,292.4072727,291.9,300.0644444,307.4944444,L5
2007-05-28 22:02:04+00:00,367.03,361.4,351.3233333,,352.31,347.5033333,,320.4533333,318.42,316.99,315.38,,,302.6933333,299.71,300.72,294.5933333,275.5833333,278.99,271.95,278.8633333,252.1,251.74,255.2322222,233.02,253.44,270.86,253.34,253.13,249,242.75,231.04,226.09,216.7,216.37,211.9,203.9822222,,192.33,,196.4922222,203.06,207.59,201.5522222,201.47,197.81,203.5722222,201.3322222,200.76,204.13,198.86,195.44,191.2422222,195.6622222,195.5722222,188.2722222,189.8522222,199.1022222,195.07,198.4322222,207.1322222,207.2122222,207.66,209.6422222,,210.5122222,212.37,,212.98,220.3222222,217.4522222,211.8822222,202.6922222,215.4922222,222.3922222,227.0122222,228.0422222,232.25,231.8522222,235.5122222,238.4422222,243.8122222,241.9,,,,,,,L7
2008-01-23 22:02:09+00:00,390.6085714,390.5685714,387.31,385.02,387.61,377.96,357.75,356.36,355.4185714,350.0485714,345.7685714,356.7,355.22,337.83,327.0085714,317.3285714,318.71,315.42,310.3285714,309.8285714,306.39,286.5785714,286.74,273.0966667,273.6785714,281.6485714,280.45,270.46,260.85,262.99,256.11,249.42,256.52,255.7885714,245.51,238.41,231.8666667,230.53,226.32,235.39,227.6166667,231.41,231.05,230.0666667,224.44,231.4385714,221.8966667,222.8166667,232.11,232.94,231.6,230.82,225.2966667,226.9066667,224.2066667,224.3366667,225.2266667,226.6266667,222.24,227.4966667,229.6666667,234.7266667,226.51,240.8966667,247.1566667,247.6766667,254.21,253.49,240.38,,,,,,,,,,,,,,,,,,,,,L7
2008-02-24 22:02:02+00:00,388.38,384.81,385.24,392.31,388.12,375.05,368.68,350.23,351.17,357.43,353.27,359.52,352.21,345.79,324.01,323.57,319.91,307.35,308.68,300.49,297.48,284.57,288.77,282.98,266.3,271.83,277.4,266.41,264.05,261.04,255.84,248.04,245.86,254.01,248.5,239.93,235.46,238.7,240.14,234.04,231.43,232.3,237.77,239.77,236.29,229.82,225.11,217.6,215.31,226.99,228.3,226.77,224.45,224.33,225.59,225.78,221.9,220.11,220.48,224.69,224.23,222.49,222.56,228.74,233.35,251.81,251.66,244.43,238.39,240.92,230.82,228.67,234.63,247.18,248.33,251.85,256.58,258.33,261.12,255.08,259.47,273.56,271.4,281.9945455,290.32,289.8945455,285.73,290.35,293.8,L7
2008-09-03 22:00:49+00:00,393.6971429,381.3871429,378.1233333,366.49,368.09,369.6033333,359.42,356.6233333,349.8271429,344.7471429,339.4071429,331.0233333,324.5833333,317.2633333,312.6571429,325.6671429,318.2433333,313.0733333,308.0971429,298.2571429,296.4033333,287.4471429,281.61,275.3655556,273.8871429,273.4671429,273.28,265.84,256.42,251.12,257.06,249.56,244.3,241.6871429,246.39,239.6,239.1655556,234.1,227.81,231.44,224.7855556,225.58,222.9,218.9755556,218.42,216.6971429,226.7155556,228.0055556,226.94,228.03,226.07,221.03,219.0655556,227.1055556,227.0855556,231.3255556,226.8155556,223.4455556,219.22,222.6155556,227.8055556,225.6155556,233.96,232.7255556,242.6255556,241.9055556,235.74,232.76,232.3,240.3355556,239.8155556,249.3055556,254.0855556,252.2555556,252.5955556,263.2855556,256.7355556,253.17,259.1955556,255.7155556,261.2455556,267.5355556,270.21,273.7045455,272.5,281.6645455,283.51,278.7955556,278.0955556,L7
2008-10-29 21:55:24+00:00,388.7928571,379.5728571,373.99,372.07,378.01,361.27,348.82,352.76,349.7628571,349.9528571,339.9028571,335.86,,,,,,,298.4228571,294.5628571,294.01,272.9928571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221.15,224.0333333,227.7633333,229.5133333,220.67,216.4133333,219.7533333,218.9033333,226.83,232.84,232.89,238.4033333,243.2033333,252.3633333,250.7033333,247.0833333,245.9933333,242.5233333,242.8433333,245.16,247.8833333,241.1433333,243.4633333,248.0433333,246.59,230.1036364,253.64,268.1336364,270.34,285.4033333,290.3633333,L5
2008-12-24 22:01:23+00:00,383.4457143,372.4357143,370.8266667,366.13,362.91,353.5666667,349.25,352.8566667,346.3357143,343.3057143,334.4257143,325.9266667,322.7266667,319.9366667,321.5857143,311.2057143,305.1066667,300.6066667,296.2457143,294.0157143,288.6466667,273.9657143,266.81,253.6411111,264.4257143,261.6157143,259.85,254.01,250.59,251.69,248.54,251.71,248.18,245.0457143,229.95,218.83,223.2611111,225.56,229.86,224.19,220.3011111,219.24,216.59,210.0111111,214.12,207.9757143,199.9911111,196.2711111,199.23,203.46,206.51,214.38,219.5711111,218.8911111,210.7311111,214.6711111,216.7311111,214.8511111,216.33,224.7211111,232.4011111,225.6211111,221.08,221.4711111,223.1411111,223.9611111,221.46,220.21,227.15,233.2311111,238.1811111,245.4111111,245.4111111,246.3011111,244.8311111,234.6911111,237.3311111,236.27,245.3211111,249.0711111,249.4211111,252.0911111,258.89,260.8609091,262.32,265.7009091,271.38,281.3111111,285.3611111,L7
2009-01-17 21:56:56+00:00,436.6257143,434.3757143,394.65,383.29,363.48,366.06,388.24,,379.2657143,379.6257143,382.7957143,365.89,325.61,326.14,322.7757143,345.2557143,319.71,313.82,305.8857143,323.3457143,312.74,,282.69,279.6566667,271.4557143,,,293.3,,,,,,277.9557143,263.91,251.96,249.1166667,262.91,245.64,242.67,245.2266667,,,,222.36,221.0157143,222.1666667,214.4066667,210.84,213.58,232.55,261.48,260.6366667,231.3166667,214.1166667,217.3466667,237.4566667,238.5066667,232.81,,253.8466667,248.0566667,244.45,235.3266667,233.3466667,239.4666667,256.28,242.06,235.3,237.7166667,243.9666667,253.0566667,254.5566667,259.6766667,282.0166667,265.6466667,248.0266667,237.63,248.7666667,260.1766667,259.8866667,265.1366667,278.53,283.2745455,276.12,271.1745455,279.97,300.2166667,317.2766667,L5
