Year-Month,nzd0263_Average_Value,month,climatology,monthly_anomaly,Value,Smooth_Value
2013-05,-0.0008495723677055454,5,-0.0008495723677043391,-1.2062833371073722e-15,0.8,0.6464064233101826
2013-06,-0.000849572367705516,6,-0.0008495723677043518,-1.1642162928149347e-15,1.2,0.6620110660013835
2013-07,-0.0008495723677054858,7,-0.0008495723677044277,-1.0580729001286038e-15,0.8,0.613553096501758
2013-08,-0.0008495723677054551,8,-0.0008495723677041971,-1.2579997807349308e-15,0.2,0.5353986135851893
2013-09,-0.0008495723677054395,9,-0.0008495723677050704,-3.690624195140657e-16,0.3,0.4760330573756673
2013-10,-0.0008495723677054237,10,-0.0008495723677044652,-9.58434720477186e-16,-0.1,0.4585426394516315
2013-11,-0.0008495723677054076,11,-0.0008495723677044195,-9.881418600032887e-16,0.7,0.492682854820976
2013-12,-0.0008495723677053833,12,-0.0008495723677043641,-1.0192584623536227e-15,0.1,0.5459116111514976
2014-01,-0.0008495723677053505,1,-0.0008495723677044302,-9.202708040056962e-16,1.4,0.6013866292244875
2014-02,-0.0008495723677053082,2,-0.0008495723677042161,-1.0921168483446486e-15,0.1,0.6084974195066907
2014-03,-0.0008495723677052654,3,-0.0008495723677046583,-6.070447963746339e-16,0.9,0.5771112723430594
2014-05,-0.0008495723677052302,5,-0.0008495723677043391,-8.91105765565836e-16,0.5,0.3087382461001101
2014-06,-0.0008495723677051947,6,-0.0008495723677043518,-8.428587688902311e-16,0.2,0.08771428124424628
2014-07,-0.0008495723677051584,7,-0.0008495723677044277,-7.306438440379814e-16,-0.2,-0.1498487037878675
2014-08,-0.0008495723677051308,8,-0.0008495723677041971,-9.337149109445164e-16,-0.7,-0.36081203033604026
2014-09,-0.000849572367705103,9,-0.0008495723677050704,-3.252606517456513e-17,-0.7,-0.5058349013733183
2014-10,-0.0008495723677050653,10,-0.0008495723677044652,-6.001059024707267e-16,-0.6,-0.5712627106095152
2014-11,-0.0008495723677050268,11,-0.0008495723677044195,-6.073700570263796e-16,-0.9,-0.5581446803209178
2015-01,-0.0008495723677049879,1,-0.0008495723677044302,-5.577135975265435e-16,-0.8,-0.335061100824501
2015-03,-0.0008495723677049482,3,-0.0008495723677046583,-2.899156609226239e-16,0.7,-0.11828199410353717
2015-04,-0.0008495723677048979,4,-0.0008495723677042728,-6.251509726551419e-16,-0.0,-0.15475179268190514
2015-05,-0.0008495723677048466,5,-0.0008495723677043391,-5.075150369404646e-16,-0.7,-0.28504595518103465
2015-06,-0.0008495723677048048,6,-0.0008495723677043518,-4.529796676644438e-16,0.6,-0.47989214618823844
2015-07,-0.0008495723677047729,7,-0.0008495723677044277,-3.452099717193846e-16,-1.1,-0.7414418710384025
2015-08,-0.0008495723677047412,8,-0.0008495723677041971,-5.440526501532261e-16,-1.4,-0.9900680399422706
2015-09,-0.0008495723677047087,9,-0.0008495723677050704,3.616898447411643e-16,-1.6,-1.1732966266459781
2015-10,-0.0008495723677046541,10,-0.0008495723677044652,-1.8886801844697487e-16,-1.7,-1.2696971307777016
2015-11,-0.0008495723677045986,11,-0.0008495723677044195,-1.7911019889460533e-16,-0.5,-1.2901526515512782
2015-12,-0.000849572367704565,12,-0.0008495723677043641,-2.0090266256156397e-16,-0.6,-1.2781324721315057
2016-01,-0.0008495723677045085,1,-0.0008495723677044302,-7.827939685345342e-17,-2.2,-1.2172688132454514
2016-02,-0.0008495723677044511,2,-0.0008495723677042161,-2.3505503099485736e-16,-2.0,-1.0398399515483334
2016-03,-0.000849572367704405,3,-0.0008495723677046583,2.533780477098624e-16,0.1,-0.7525449066567362
2016-04,-0.0008495723677043584,4,-0.0008495723677042728,-8.565197162635485e-17,-1.2,-0.43479416306256913
2016-05,-0.0008495723677043,5,-0.0008495723677043391,3.913969842672671e-17,0.4,-0.10143627192696836
2016-06,-0.0008495723677042409,6,-0.0008495723677043518,1.109138822452671e-16,0.6,0.17473233760276197
2016-07,-0.0008495723677041933,7,-0.0008495723677044277,2.3440450969136606e-16,0.4,0.358888245079511
2016-08,-0.0008495723677041457,8,-0.0008495723677041971,5.139118297581291e-17,0.7,0.4484129054275934
2016-09,-0.0008495723677040977,9,-0.0008495723677050704,9.727461891539946e-16,1.2,0.44380110444640675
2016-10,-0.0008495723677040615,10,-0.0008495723677044652,4.0375688903360185e-16,-0.3,0.36459993720356487
2016-11,-0.0008495723677040372,11,-0.0008495723677044195,3.8228968601838886e-16,-0.1,0.28762229473629397
2016-12,-0.0008495723677040129,12,-0.0008495723677043641,3.511730836680549e-16,0.3,0.23935192236486655
2017-01,-0.0008495723677039765,1,-0.0008495723677044302,4.537386091851836e-16,0.2,0.21691851666105516
2017-02,-0.0008495723677039398,2,-0.0008495723677042161,2.7625471354930653e-16,-0.1,0.22204456117400562
2017-03,-0.0008495723677039152,3,-0.0008495723677046583,7.431121690215647e-16,0.9,0.25517132583444024
2017-04,-0.0008495723677038907,4,-0.0008495723677042728,3.8207284558389176e-16,-0.2,0.29235213417200545
2017-05,-0.0008495723677038663,5,-0.0008495723677043391,4.728205674209285e-16,0.3,0.3584722076564881
2017-06,-0.0008495723677038292,6,-0.0008495723677043518,5.225854471380131e-16,0.4,0.44113168703819633
2017-08,-0.0008495723677037798,8,-0.0008495723677041971,4.1730941618967066e-16,0.5,0.5856425396204197
2017-09,-0.0008495723677037425,9,-0.0008495723677050704,1.3279308208602458e-15,0.6,0.6285472116819878
2017-10,-0.0008495723677036923,10,-0.0008495723677044652,7.729277287649161e-16,0.9,0.6467271479748825
2017-12,-0.0008495723677036294,12,-0.0008495723677043641,7.346553920761778e-16,-0.1,0.5974871555866438
2018-01,-0.000849572367703579,1,-0.0008495723677044302,8.512071256183695e-16,1.1,0.5733793780550305
2018-02,-0.000849572367703541,2,-0.0008495723677042161,6.750242725894751e-16,-0.5,0.5391715530208865
2018-04,-0.0008495723677035029,4,-0.0008495723677042728,7.698919626819567e-16,0.5,0.43713737475963227
2018-05,-0.0008495723677034646,5,-0.0008495723677043391,8.745174723268079e-16,0.4,0.3242999118547453
2018-06,-0.0008495723677034008,6,-0.0008495723677043518,9.510621457042845e-16,0.1,0.19479555973768897
2018-07,-0.000849572367703324,7,-0.0008495723677044277,1.1037178115902435e-15,0.2,0.0739571141286307
2018-08,-0.0008495723677032856,8,-0.0008495723677041971,9.114887664085636e-16,-0.3,-0.02006135328199016
2018-09,-0.0008495723677032601,9,-0.0008495723677050704,1.8102923673990468e-15,-0.9,-0.05956073413656466
2018-10,-0.0008495723677032216,10,-0.0008495723677044652,1.2435798918408736e-15,0.4,-0.03804124940899307
2018-11,-0.0008495723677031705,11,-0.0008495723677044195,1.2490009027033011e-15,-0.1,-0.01264831157871385
2018-12,-0.0008495723677031321,12,-0.0008495723677043641,1.2319789285952787e-15,1.0,-0.007355133373982799
2019-01,-0.0008495723677031068,1,-0.0008495723677044302,1.3233771717358067e-15,-0.0,-0.052749938462830534
2019-02,-0.0008495723677030815,2,-0.0008495723677042161,1.1346175735060804e-15,-1.4,-0.10313547340411518
2019-03,-0.000849572367703056,3,-0.0008495723677046583,1.602342390716327e-15,0.3,-0.10881981188533173
2019-05,-0.0008495723677030306,5,-0.0008495723677043391,1.3085236019727553e-15,-0.4,-0.14919622788761777
2019-06,-0.0008495723677030053,6,-0.0008495723677043518,1.346470678009748e-15,0.5,-0.20247192375160855
2019-07,-0.0008495723677029802,7,-0.0008495723677044277,1.447518320485397e-15,-0.4,-0.2981659538741576
2019-08,-0.0008495723677029428,8,-0.0008495723677041971,1.25431349334848e-15,-0.1,-0.4030994385345668
2019-09,-0.0008495723677029053,9,-0.0008495723677050704,2.1651517384535524e-15,-1.2,-0.4918052359457585
