dates,nzd0125-0000,nzd0125-0001,nzd0125-0002,nzd0125-0003,nzd0125-0004,nzd0125-0005,nzd0125-0006,nzd0125-0007,nzd0125-0008,nzd0125-0009,nzd0125-0010,nzd0125-0011,nzd0125-0012,nzd0125-0013,nzd0125-0014,nzd0125-0015,nzd0125-0016,nzd0125-0017,nzd0125-0018,nzd0125-0019,nzd0125-0020,nzd0125-0021,nzd0125-0022,nzd0125-0023,nzd0125-0024,nzd0125-0025,nzd0125-0026,satname
2020-09-21 22:05:54+00:00,413.2,384.5671429,388.4038462,387.2866667,375.9866667,374.8666667,380.8566667,382.3545455,378.7745455,371.3445455,369.4866667,375.7966667,401.9922222,425.3033333,409.4433333,364.9622222,355.6566667,359.2266667,357.9038462,369.2866667,364.5433333,371.68,394.54,413.1,376.6322222,356.5233333,352.2933333,L8
2020-09-29 21:30:35+00:00,,379.4814286,384.8307692,379.4533333,361.5433333,364.9733333,,,,,,,,,,,,,351.6307692,365.6933333,355.0666667,358.605,369.36,386.61,369.6511111,346.6066667,346.6266667,L7
2020-10-23 22:05:58+00:00,420.54,388.9928571,393.7407692,392.4333333,373.5533333,376.1633333,384.6233333,382.8345455,383.4345455,374.9445455,373.1133333,378.6033333,404.1077778,412.7466667,397.7666667,358.2977778,359.3933333,359.9733333,363.4207692,375.4233333,371.7766667,374.16,377.83,403.95,377.2677778,355.8366667,357.4366667,L8
2020-11-07 21:34:12+00:00,373.43,371.0685714,370.0953846,366.7433333,349.1333333,356.3233333,365.1933333,356.2009091,363.8109091,352.9009091,353.5333333,356.4033333,,,,,,,,,,,,,372.5677778,347.5166667,346.7966667,L7
2020-11-16 21:27:24+00:00,405.44,378.0514286,,,,,,,,,,,,,,351.5977778,353.9533333,352.5533333,349.4461538,363.6733333,352.4366667,361.63,369.41,398.28,374.5977778,349.7766667,349.0066667,L7
2020-12-01 22:12:09+00:00,397.15,382.3228571,386.2761538,386.6066667,372.1666667,368.9366667,375.9866667,375.3963636,373.2763636,368.0063636,364.5166667,366.5066667,390.9122222,405.9433333,386.9833333,349.6522222,348.5066667,352.5166667,352.5961538,365.3466667,359.5633333,365.9,381.17,391.09,372.5022222,347.0833333,355.0533333,L8
2020-12-26 22:05:56+00:00,421.23,385.7442857,386.5638462,387.41,370.95,371.01,381.48,380.9172727,382.5572727,374.4472727,373.15,378.97,393.9766667,402.13,,342.8966667,355.43,358.62,360.9638462,367.88,372.02,372.495,380.4,397.43,375.7866667,359.71,354.81,L8
2021-01-03 21:23:55+00:00,,,,416.39,383.17,382.61,393.23,386.6827273,389.7727273,379.9127273,375.7,380.11,396.4866667,417.7,396.67,368.2666667,363.37,360.09,366.9930769,373.57,374.52,376.74,389.2,415.38,,,,L7
2021-02-03 22:11:56+00:00,,,,,,374.9566667,385.2966667,388.3263636,393.9263636,384.3563636,381.2866667,378.2166667,402.1022222,405.3033333,381.8633333,355.9922222,361.2366667,361.8766667,366.3361538,373.1066667,371.2933333,368.87,379.19,393.93,377.7922222,360.6233333,361.7333333,L8
2021-02-11 21:27:17+00:00,378.49,372.7685714,378.1538462,374.81,359.08,,,,,,,,,,,361.8866667,352.74,354.31,355.3438462,360.39,360.06,361.94,371.91,385.14,366.3066667,351.93,351.38,L7
