dates,nzd0191-0000,nzd0191-0001,nzd0191-0002,nzd0191-0003,nzd0191-0004,nzd0191-0005,nzd0191-0006,nzd0191-0007,nzd0191-0008,nzd0191-0009,nzd0191-0010,nzd0191-0011,nzd0191-0012,nzd0191-0013,nzd0191-0014,nzd0191-0015,nzd0191-0016,nzd0191-0017,nzd0191-0018,nzd0191-0019,nzd0191-0020,nzd0191-0021,nzd0191-0022,nzd0191-0023,nzd0191-0024,nzd0191-0025,nzd0191-0026,nzd0191-0027,nzd0191-0028,nzd0191-0029,nzd0191-0030,nzd0191-0031,nzd0191-0032,nzd0191-0033,nzd0191-0034,nzd0191-0035,nzd0191-0036,nzd0191-0037,nzd0191-0038,nzd0191-0039,nzd0191-0040,nzd0191-0041,nzd0191-0042,nzd0191-0043,nzd0191-0044,nzd0191-0045,nzd0191-0046,nzd0191-0047,nzd0191-0048,nzd0191-0049,nzd0191-0050,satname
2001-06-21 21:55:29+00:00,287.51,300.3271429,291.8333333,282.4733333,270.7533333,276.63,274.32,292.1671429,289.5471429,290.1971429,297.2871429,287.3355556,291.67,289.03,288.7671429,289.5155556,286.7555556,293.05,279.9855556,283.7155556,278.97,273.6871429,277.93,280.84,282.6685714,289.7955556,278,281.21,286.74,290.63,296.1555556,299.8055556,301.9555556,301.66,303.3847619,306.03,317.14,320.3542105,332.7255556,325.88,322.5369565,299.0876923,314.19,317.575,329.79,324.6766667,322.7576923,322.9466667,,335.3976923,344.8985714,L7
2001-06-30 21:49:12+00:00,307.91,285.2785714,269.26,255.38,237.75,282.72,,291.8685714,274.8285714,286.6085714,280.2585714,275.35,282.15,276.09,275.9585714,276.76,278.37,286.66,268.91,272.11,272.35,254.4685714,268.4690909,268.8,275.4542857,277.27,267.51,274.97,277.67,285.33,293.7,299.85,287.38,295.05,290.2757143,295.8790909,298.2,313.6421053,322.27,317.08,316.8082609,314.1830769,309.0590909,316.69,312.8790909,320.06,311.4230769,318.44,315.3,331.7230769,341.7342857,L7
2001-09-09 21:54:36+00:00,309.91,306.3414286,299.4833333,289.1733333,275.7333333,296.05,295.18,301.8514286,290.7514286,300.2814286,297.5714286,299.9022222,299.77,296.96,301.1914286,296.2422222,296.5222222,295.3,288.6422222,280.7522222,278.51,286.3014286,286.5372727,295.4,290.3857143,285.9522222,290.11,292.24,293.16,299.52,303.8522222,303.8522222,307.5022222,310.14,317.677619,322.3572727,322.3,328.6494737,324.4722222,325.41,320.5647826,307.0823077,315.9772727,319.045,323.1872727,326.5866667,330.2423077,328.5966667,334.3266667,340.7723077,341.6557143,L7
2001-10-11 21:54:09+00:00,314.77,292.1042857,286.23,300.06,314.08,283.37,276.8,321.0842857,283.3242857,287.3042857,292.2742857,297.24,296.57,296.25,290.9942857,294.41,291.95,291.3,283.66,279.57,274.83,272.8442857,281.0445455,282.89,287.1171429,288.84,278.15,288.48,295.55,295.48,301.67,302.88,301.54,312.67,316.4428571,320.0545455,322.79,327.7610526,322.92,324.07,313.9791304,320.1215385,315.9445455,320.06,320.9045455,322.92,325.4215385,321.98,330.01,341.6715385,349.7371429,L7
2002-01-24 21:48:42+00:00,336.65,314.9585714,318.0333333,,,325.82,316.21,320.7885714,301.1685714,297.8185714,296.8285714,298.4422222,302.8,306.67,312.7785714,324.0122222,321.7322222,316.72,305.0022222,303.4722222,304.74,291.3685714,293.73,298.63,314.8542857,315.8922222,322.16,326.51,314.71,309.34,314.2822222,321.0122222,326.6522222,331.13,324.5590476,333.33,337.71,334.3768421,337.1422222,343.27,344.0678261,340.4707692,326.2,335.17,328.63,325.0966667,327.8007692,331.4766667,340.0066667,344.1107692,353.6642857,L7
2002-01-31 21:54:50+00:00,324.47,306.0757143,302.0533333,288.6433333,,,310.66,295.1157143,294.6457143,295.3457143,297.4557143,294.2955556,291.55,298.9,301.4457143,296.7255556,291.3455556,292.03,290.3155556,285.2755556,285.31,296.3557143,278.3227273,285.96,284.1428571,293.6855556,293.15,300.11,298.37,299.54,302.5255556,302.5755556,307.4355556,308.56,306.7704762,318.4127273,324.44,324.1757895,326.0255556,323.77,317.4347826,310.5076923,319.9127273,318.13,320.0227273,313.2866667,318.3176923,324.3166667,333.2866667,333.2276923,342.3628571,L7
2002-02-25 21:48:47+00:00,327.53,311.0942857,296.4066667,296.8766667,320.8566667,,289.75,332.3942857,287.5242857,284.8442857,290.9542857,296.1144444,303.55,299.66,306.4942857,307.5844444,323.5244444,303.34,283.6344444,280.4644444,277.87,276.1142857,285.6018182,285.65,295.7671429,298.1044444,303.93,311.78,315.22,313.86,295.2444444,301.9144444,321.7844444,325.81,322.6895238,314.8218182,327.58,333.3973684,329.6544444,321.39,329.0117391,327.2746154,323.5218182,335.395,323.6618182,321.0033333,322.6346154,336.4333333,337.8233333,342.2646154,347.3571429,L7
2002-03-20 21:54:48+00:00,332.38,313.8928571,308.23,308.37,290.54,307.58,306.75,339.5328571,300.8528571,302.6628571,308.3828571,300.5166667,305.97,305.88,311.9328571,315.7466667,315.7766667,310.91,306.7466667,298.3866667,301.12,300.8328571,293.7309091,299.27,304.4814286,312.4366667,316.25,320.73,316.3,324.14,315.0866667,315.6566667,322.3566667,325.68,323.7585714,331.2509091,336.15,334.8105263,340.7966667,338.43,331.7226087,329.74,329.9509091,322.705,327.1509091,330.61,330.95,332.36,349.54,346.98,349.9614286,L7
2002-03-29 21:48:39+00:00,,,,296.4633333,266.7133333,294.33,299.24,334.0271429,291.5971429,287.8571429,296.6371429,298.9855556,300.41,304.63,307.3171429,305.0855556,299.3555556,289.01,291.1155556,280.6755556,280.2,287.6571429,289.5045455,291.81,298.2885714,299.1655556,308.61,302.25,301.86,303.47,303.2055556,305.2155556,308.8855556,310.59,311.5747619,318.7645455,328.22,325.9273684,332.5855556,325.42,325.3834783,316.99,323.5445455,319.15,318.2045455,319.8166667,320.06,330.9366667,342.3366667,343.73,345.1185714,L7
2002-04-05 21:54:49+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,326.1466667,,,,L7
2002-06-01 21:48:28+00:00,301.56,305.4014286,297.7366667,272.3966667,286.5566667,303.03,298,343.2814286,298.5114286,302.3014286,291.7414286,290.8011111,293.8,291.57,299.5714286,296.8911111,301.4711111,302.23,291.8211111,294.3011111,291.93,292.9314286,289.2018182,291.94,300.7257143,304.6211111,293.24,303.48,301.94,306.54,311.4811111,310.8411111,318.7511111,318.1,322.7009524,317.3918182,322.69,326.2221053,332.7111111,320.54,323.12,327.2784615,324.9818182,330.065,322.1018182,331.4333333,331.3184615,329.2333333,342.7033333,342.3684615,340.9557143,L7
2002-07-19 21:48:09+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,304.19,304.77,311.18,314.55,307.87,311.98,317.85,314.22,327.77,335.7057143,336.3090909,336.75,335.3121053,347.14,350.1,349.1582609,348.1330769,340.3290909,343.8,340.9690909,344.11,346.4830769,343.71,355.87,354.4030769,,L7
2002-08-27 21:54:00+00:00,314.39,313.9428571,306.45,285.14,272.13,293.62,300.67,355.4028571,289.1728571,300.7028571,309.4428571,306.4133333,304.88,298.93,309.5628571,303.1033333,302.7733333,297.8,297.0733333,297.6733333,295.58,296.4628571,293.0490909,295.86,295.0714286,316.7033333,305.73,314.07,308.35,324.63,321.7633333,318.3933333,326.4433333,320.67,336.5685714,342.5490909,344.71,348.4015789,350.0933333,345.68,340.7547826,336.3907692,340.6890909,334.84,346.0390909,342.11,345.9207692,357.17,356.42,354.3707692,369.5014286,L7
