dates,nzd0170-0000,nzd0170-0001,nzd0170-0002,nzd0170-0003,nzd0170-0004,nzd0170-0005,satname
2007-03-02 21:56:31+00:00,320.2133333,327.5163158,329.3529412,343.88,332.65,348.4333333,L7
2007-03-18 21:56:09+00:00,326.35,326.8210526,335.6152941,,,359.04,L7
2007-04-19 21:56:31+00:00,333.6566667,338.1194737,,,348.5514286,352.0666667,L7
2007-05-05 21:56:27+00:00,343.9333333,343.7436842,356.4376471,362.22,,357.9133333,L7
2007-05-21 21:56:21+00:00,,,,346.7,,,L7
2007-06-06 21:56:17+00:00,332.9,330.8526316,344.4470588,348.9,353.0571429,359.27,L7
2007-09-10 21:55:51+00:00,317.3333333,328.0973684,330.7282353,342.64,342.1671429,,L7
2007-09-26 21:55:23+00:00,315.27,319.6136842,327.4064706,,,332.03,L7
2007-10-12 21:55:23+00:00,332.3066667,340.32,342.9505882,350.06,345.7485714,344.5966667,L7
2007-11-13 21:55:44+00:00,,,,,323.62,326.9933333,L7
2008-01-16 21:55:59+00:00,323.6733333,318.1294737,329.2447059,332.45,332.6942857,,L7
2008-02-01 21:56:21+00:00,326.84,338.1021053,342.7305882,350.4,350.8642857,355.25,L7
2008-03-04 21:56:12+00:00,,,332.8082353,339.28,337.8685714,343.4166667,L7
2008-04-21 21:56:08+00:00,,312.6478947,328.5894118,334.75,328.9157143,336.61,L7
2008-05-07 21:55:40+00:00,318.3433333,310.3026316,329.2523529,329.92,326.6514286,332.8233333,L7
2008-08-27 21:54:42+00:00,322.6933333,332.5589474,336.7582353,350.52,,,L7
2008-09-28 21:54:48+00:00,322.4866667,326.3242105,340.6617647,346.28,349.3571429,347.5966667,L7
2008-12-09 21:49:42+00:00,315.3966667,318.5931579,335.2905882,345.42,342.8471429,347.3166667,L5
2008-12-25 21:50:34+00:00,330.0233333,336.3947368,351.9470588,361.28,355.9528571,365.1433333,L5
2009-01-02 21:55:15+00:00,,,338.5017647,352.28,351.15,352.79,L7
2009-03-23 21:56:15+00:00,328.3533333,329.2826316,343.3305882,,,353.8633333,L7
2009-04-08 21:55:56+00:00,308.27,,,,,,L7
2009-05-10 21:56:27+00:00,302.3133333,293.5331579,314.5670588,,324.4885714,324.0533333,L7
2009-07-13 21:56:21+00:00,,,293.8411765,305.54,,306.99,L7
2009-07-29 21:55:52+00:00,322.8333333,322.4821053,332.8058824,340.06,327.9585714,334.1633333,L7
2009-08-30 21:56:12+00:00,318.2833333,320.7710526,339.2047059,342.06,339.4385714,336.2733333,L7
2009-11-26 21:56:28+00:00,334.6,335.3894737,350.1094118,352.4,349.34,359.14,L5
2009-12-20 21:56:43+00:00,307.1933333,306.0157895,322.2441176,331.21,328.0757143,318.0333333,L7
2010-01-05 21:57:00+00:00,327.9766667,323.6842105,341.7935294,352.22,349.4228571,,L7
2010-01-13 21:56:49+00:00,328.74,331.9094737,347.6794118,348.34,348.71,352.91,L5
2010-02-06 21:57:27+00:00,322.6933333,316.6152632,340.8376471,345.93,346.9628571,345.9133333,L7
2010-03-10 21:57:44+00:00,330.52,,,,,,L7
2010-03-26 21:57:49+00:00,333.8133333,332.3105263,347.1541176,351.43,344.5285714,353.3433333,L7
2010-04-11 21:58:15+00:00,321.0366667,323.3921053,344.6652941,349.79,336.5,,L7
2010-04-27 21:57:49+00:00,316.5033333,,,,331.5328571,339.9633333,L7
2010-05-13 21:58:09+00:00,,,,,317.32,341.15,L7
2010-05-29 21:57:45+00:00,,,337.6152941,347.47,348.0128571,349.81,L7
