dates,nzd0233-0001,nzd0233-0002,nzd0233-0003,nzd0233-0004,nzd0233-0005,nzd0233-0006,nzd0233-0007,nzd0233-0008,nzd0233-0009,nzd0233-0010,nzd0233-0011,nzd0233-0012,nzd0233-0013,nzd0233-0014,nzd0233-0015,nzd0233-0016,nzd0233-0017,nzd0233-0018,nzd0233-0019,nzd0233-0020,nzd0233-0021,nzd0233-0022,nzd0233-0024,satname
2002-08-20 21:47:58+00:00,364.58,359.14,365.3655556,364.9647368,360.4064706,356.55,352.0566667,346.9169231,348.3342857,344.1942857,346.3566667,342.41,343.23,344.0064706,345.73,341.9442857,334.8942857,333.6342857,337.57,340.3255556,349.5964706,348.2342857,292.1445455,L7
2002-08-29 21:41:39+00:00,371.56,365.935,368.8522222,366.6326316,365.1117647,363.315,359.5366667,359.8915385,353.9028571,350.1128571,348.0466667,346.415,349.075,350.1517647,350.405,351.4528571,343.8428571,342.8528571,342.565,341.4122222,351.3417647,361.1628571,318.3527273,L7
2002-10-23 21:47:39+00:00,364.4,360.795,363.5733333,358.84,358.4358824,357.585,357.34,349.1192308,349.4428571,346.6028571,348.79,348.965,347.845,350.1458824,347.645,348.5128571,341.9728571,336.1728571,339.615,340.0733333,353.6258824,360.0228571,367.0236364,L7
2002-11-08 21:47:44+00:00,366.01,362.455,364.06,360.3310526,356.7970588,358.295,358.91,352.4707692,352.0728571,350.1528571,349.97,348.795,348.715,349.9970588,351.185,351.9928571,340.4528571,338.5028571,340.435,343.21,356.4770588,364.5628571,364.93,L7
2003-01-11 21:48:14+00:00,356.14,356.33,350.8144444,352.4563158,352.7229412,351.77,351.0333333,332.1961538,334.9,331.3,330.0633333,333.96,336.91,338.5029412,343.24,341.48,339.79,334.83,336.28,336.1344444,350.9329412,349.8,345.0245455,L7
2003-02-21 21:42:20+00:00,370.71,365.47,363.3511111,361.7315789,364.7670588,360.89,355.6933333,353.1653846,352.1642857,349.7342857,350.8333333,349.48,353.25,348.8470588,353.7,354.1642857,346.8642857,344.5242857,346.08,345.1711111,358.0970588,359.8442857,339.6390909,L7
2003-03-16 21:48:34+00:00,370.25,362.65,361.3133333,356.5289474,352.9088235,353.26,349.54,339.7384615,343.72,339.71,341.73,347.29,344.93,351.8388235,358.15,356.14,345.83,337.72,339.27,341.9933333,354.0088235,354.22,346.4536364,L7
2003-04-10 21:42:26+00:00,400.69,386.145,378.3511111,376.9505263,367.27,369.325,371.3733333,368.6046154,358.3314286,358.1714286,360.4633333,364.455,370.795,368.66,371.195,369.3814286,359.9314286,349.5014286,354.615,355.7211111,368.74,360.6614286,354.4990909,L7
2003-04-26 21:42:25+00:00,373.87,366.05,362.3355556,357.3347368,354.3264706,350.86,350.6066667,345.2869231,342.5442857,339.1042857,342.3366667,342.48,343.8,348.7664706,349.85,347.2142857,340.1242857,332.8942857,333.05,337.7055556,345.4264706,346.1642857,287.2445455,L7
2003-05-03 21:48:37+00:00,391.85,383.09,381.7133333,384.9426316,374.2970588,378.05,377.78,375.7046154,369.3871429,368.2771429,366.13,368.95,360.48,375.4970588,381.15,372.4971429,359.6671429,358.6171429,354.26,355.2533333,364.6170588,362.9971429,302.3372727,L7
2003-05-28 21:42:22+00:00,383.71,377.39,372.3411111,370.7384211,365.2835294,362.43,360.6533333,355.4307692,354.2642857,351.8842857,352.8133333,356.44,353.47,352.2235294,357.94,355.6842857,348.4442857,341.0942857,345.56,,355.4335294,350.0042857,,L7
2003-07-23 21:30:14+00:00,373.41,372.125,375.8688889,372.6605263,366.1894118,360.625,357.9966667,357.5984615,359.2528571,358.1928571,354.9066667,352.905,355.495,353.4394118,359.115,358.6128571,351.0128571,347.2928571,,,344.3194118,344.9228571,,L5
2003-08-15 21:36:48+00:00,375.13,369.15,355.5777778,,,,325.5633333,326.8992308,326.13,326.24,337.1833333,344.76,345.55,344.9752941,332.01,324.21,316.51,314.1,318.26,,322.0452941,,,L5
2003-08-24 21:30:48+00:00,,,363.0966667,358.36,360.0941176,357.195,353.04,349.5807692,348.1571429,338.0871429,340.54,340.625,340.075,341.1341176,344.645,345.6971429,334.9771429,334.0571429,338.855,,350.1041176,342.2671429,299.3063636,L5
2003-11-04 21:42:03+00:00,366.03,,,,,,353.9633333,352.3330769,351.5214286,352.4814286,352.7633333,351.605,350.765,352.4588235,356.335,354.6814286,344.2814286,338.8914286,,,,351.9814286,348.9627273,L7
2003-11-19 21:38:14+00:00,365.75,360.89,365.7322222,365.8363158,362.2623529,358.7,356.5366667,353.92,359.0814286,341.3514286,343.1066667,343.76,346.45,348.9623529,350.32,345.9814286,343.2814286,348.2114286,354.15,353.2722222,363.7623529,366.1814286,345.6354545,L5
2003-11-20 21:42:19+00:00,363.58,353.135,358.0855556,353.8073684,,,,,,346.3785714,347.4766667,349.015,349.205,349.2676471,350.285,349.2785714,343.0885714,337.8885714,341.225,,,,350.0481818,L7
2003-11-28 21:32:10+00:00,360.68,341.77,346.1466667,347.1605263,349.9464706,347.79,351.25,348.05,344.2328571,340.5428571,349.49,347.73,343.15,343.3464706,345.49,351.7928571,346.8728571,342.2528571,342.62,347.9166667,361.6364706,362.0928571,357.6618182,L5
2003-12-30 21:32:24+00:00,361.22,357.565,355.9644444,355.1536842,355.6717647,355.165,343.2733333,341.4107692,339.5857143,338.5257143,344.2233333,339.565,342.945,344.8317647,351.415,349.7957143,346.5957143,342.2757143,346.745,346.0144444,358.3017647,354.4057143,351.6509091,L5
2004-01-22 21:38:40+00:00,346.78,337.93,335.98,330.8142105,334.7129412,326.62,329.62,321.4876923,331.3842857,327.4642857,334.02,335.37,339.47,344.4329412,348.47,352.2342857,345.0342857,341.5942857,343.88,347.33,345.4929412,341.4642857,340.2081818,L5
2004-01-23 21:42:42+00:00,363.44,357.68,356.9833333,355.6821053,351.6623529,350.66,350.82,,,,,,354.47,349.8623529,358,359.66,350.23,346.57,347.35,347.2633333,354.9923529,367.46,,L7
2004-02-24 21:42:45+00:00,,,,,,357.61,354.0066667,351.9276923,353.7985714,348.9585714,349.8866667,349.61,355.26,354.0617647,358.21,365.1985714,,,,,361.2617647,367.8885714,332.6154545,L7
2004-03-11 21:42:54+00:00,,,,,,362.325,360.5166667,355.6261538,354.39,336.95,335.6766667,342.715,348.785,350.6688235,355.895,353.55,,,,,,370.59,347.5,L7
2004-03-18 21:49:07+00:00,359.19,353.935,,,,,,,,339.7214286,340.87,341.935,341.935,341.7658824,343.715,344.5014286,337.2914286,331.2514286,,,,,344.3381818,L7
2004-03-27 21:42:57+00:00,,357.625,362.6377778,363.3915789,360.8111765,358.065,354.3033333,351.6461538,352.4414286,355.1214286,354.6333333,355.855,,,,,,348.5714286,349.425,344.7277778,355.6011765,360.6914286,318.7354545,L7
2004-04-03 21:49:06+00:00,,356.945,357.7566667,357.3447368,357.2217647,354.345,349.44,348.52,348.8485714,346.4885714,350.43,,,,,,,337.5185714,340.805,338.3466667,347.5617647,353.7985714,324.3790909,L7
2004-04-04 21:33:01+00:00,361.14,357.075,353.6966667,353.3542105,357.0670588,351.005,349.05,341.2884615,344.7814286,344.8814286,351.82,354.135,353.115,354.4870588,352.775,355.2314286,347.1514286,350.3314286,345.075,347.8366667,356.0570588,357.8114286,343.1045455,L5
2004-04-12 21:42:51+00:00,355.97,344.065,339.5011111,339.8905263,347.55,342.625,,,,,,337.775,340.035,338.54,,,,332.4214286,342.335,,,,,L7
2004-05-21 21:49:02+00:00,378.46,368.385,368.0522222,,,,,,,,352.0166667,353.635,353.645,352.4494118,352.935,356.2442857,344.5042857,342.3142857,342.925,,,,,L7
2004-05-22 21:34:26+00:00,,,,,366.5829412,380.23,,,,,,,,,,,,,,355.47,387.1329412,390.6242857,,L5
2004-06-06 21:48:56+00:00,,,,,,,,360.6676923,357.9385714,356.6585714,361.2466667,357.79,358.57,361.4517647,360.34,365.4885714,356.4285714,,,,,,,L7
2004-06-07 21:34:54+00:00,375.82,364.405,360.8855556,361.9905263,,,,,,,,,,,,,,,,,,,,L5
2004-06-22 21:48:52+00:00,384.97,383.385,380.4022222,380.6273684,380.1094118,378.885,378.9766667,379.0807692,374.8342857,,,,,,,384.4542857,370.4042857,367.8342857,363.635,,368.3094118,368.1242857,,L7
2004-06-23 21:35:22+00:00,379.39,374.455,357.3988889,361.4442105,360.7776471,357.755,353.4866667,351.1046154,352,353.28,357.2866667,357.085,355.385,357.6876471,361.845,361.07,352.59,347.26,,,352.6176471,349.69,,L5
2004-06-30 21:41:46+00:00,357.45,343.475,341.1666667,340.5452632,345.1264706,345.515,332.72,322.8015385,326.7257143,323.3157143,330.8,330.385,330.995,334.0364706,342.625,337.4257143,332.3557143,321.1357143,,,334.9464706,321.6257143,,L5
2004-07-25 21:36:14+00:00,380.5,367.09,,,,,,,,,,,,,,,,,,,,,,L5
2004-08-02 21:42:28+00:00,,369.865,370.6277778,366.3310526,368.1964706,366.255,362.1233333,359.3146154,362.3242857,361.3142857,362.0933333,363.085,367.505,,,,,353.3042857,350.965,,360.0164706,364.3542857,253.0209091,L7
