dates,nzd0231-0004,nzd0231-0005,nzd0231-0006,nzd0231-0007,nzd0231-0008,nzd0231-0009,nzd0231-0010,nzd0231-0011,nzd0231-0012,nzd0231-0013,nzd0231-0014,nzd0231-0015,nzd0231-0016,nzd0231-0017,nzd0231-0018,nzd0231-0019,nzd0231-0020,nzd0231-0021,nzd0231-0022,nzd0231-0023,nzd0231-0024,nzd0231-0025,nzd0231-0026,nzd0231-0027,nzd0231-0028,nzd0231-0029,nzd0231-0030,nzd0231-0031,nzd0231-0032,nzd0231-0033,nzd0231-0034,nzd0231-0035,nzd0231-0036,nzd0231-0037,nzd0231-0038,nzd0231-0039,nzd0231-0040,nzd0231-0041,nzd0231-0042,nzd0231-0043,nzd0231-0044,nzd0231-0045,nzd0231-0046,nzd0231-0047,nzd0231-0048,nzd0231-0049,nzd0231-0050,nzd0231-0051,nzd0231-0052,nzd0231-0053,nzd0231-0054,nzd0231-0055,nzd0231-0056,nzd0231-0057,nzd0231-0058,nzd0231-0059,nzd0231-0060,nzd0231-0061,nzd0231-0062,nzd0231-0063,nzd0231-0064,nzd0231-0065,nzd0231-0066,nzd0231-0067,nzd0231-0068,nzd0231-0069,nzd0231-0070,nzd0231-0071,nzd0231-0072,nzd0231-0073,nzd0231-0074,nzd0231-0075,nzd0231-0076,nzd0231-0077,nzd0231-0078,nzd0231-0079,nzd0231-0080,nzd0231-0081,nzd0231-0082,nzd0231-0083,nzd0231-0084,nzd0231-0085,nzd0231-0086,nzd0231-0087,nzd0231-0088,nzd0231-0089,nzd0231-0090,nzd0231-0091,nzd0231-0092,nzd0231-0093,nzd0231-0094,nzd0231-0095,nzd0231-0096,nzd0231-0097,nzd0231-0098,nzd0231-0099,nzd0231-0100,satname
2015-08-16 21:59:34+00:00,358.5092308,365.7888889,372.83,368.8164706,370.4433333,375.76,374.7604762,375.0857143,370.8564706,369.0392308,375.0166667,374.7857143,374.7392308,375.3966667,374.2289655,373.7757143,383.97,381.4957143,380.5657143,383.8657143,389.74,392.1692308,385.47,387.8277778,383.1833333,382.25,382.8957143,385.32,393.9777778,386.65,388.55,382.84,380.5733333,377.6433333,375.4,378.53,364.56,368.8633333,369.98,364.41,365.39,361.68,362.03,373.34,371.59,368.76,368.41,372.4077778,376.7933333,373.26,368.44,367.33,366.15,366.1,367.6733333,364.3157143,370.2492308,365.0792308,367.0433333,366.7257143,367.1857143,373.4057143,369.8833333,373.4133333,374.2033333,364.97,365.59,363.28,363.4533333,361.36,357.4133333,351.94,352.62,351.37,349.65,348.09,348.93,340.5133333,344.68,344.59,349.82,351.98,356.11,360.36,362.98,364.77,367.32,370.5392308,367.1457143,365.2933333,368.62,365.0933333,363.2633333,359.58,366.68,362.1477778,353.1377778,L8
2015-09-01 21:59:39+00:00,349.0738462,347.0122222,353.9,354.5135294,354.3233333,360.4,358.7419048,361.9528571,358.8835294,357.5238462,354.8266667,360.3928571,363.3338462,361.8566667,365.4496552,361.3828571,367.8672727,363.4828571,361.8728571,366.3228571,370.2472727,377.2638462,377.2572727,372.4144444,372.0833333,366.4472727,363.5128571,374.7472727,375.8944444,379.0872727,374.2872727,371.2172727,366.5733333,358.6733333,364.1272727,368.6372727,364.6772727,355.2933333,354.7772727,357.5,358.5872727,354.7,358.64,356.9672727,361.89,364.0072727,366.1172727,367.7844444,354.8733333,360.18,355.4672727,352.0872727,354.2472727,351.1972727,353.4333333,355.8828571,346.6038462,356.9538462,351.3833333,358.7728571,360.3728571,356.4728571,362.6433333,358.1333333,363.3733333,360.8372727,354.7372727,355.4072727,352.9133333,353.68,344.8433333,345.0272727,341.0072727,347.1072727,345.4672727,342.2172727,334.0472727,334.6433333,332.4072727,336.05,342.14,340.75,341.93,350.4172727,353.39,354.1472727,362.77,354.3738462,356.5528571,355.1533333,351.0472727,356.9433333,349.9833333,353.4972727,355.4,350.4644444,348.0744444,L8
2015-09-25 21:59:49+00:00,349.1107692,350.8277778,351.805,349.3852941,351.4066667,350.09,361.1452381,355.3728571,359.4052941,355.4707692,356.1133333,358.0528571,352.5607692,357.1733333,356.7717241,363.7728571,356.5290909,360.1128571,357.7628571,359.8028571,362.5790909,367.4807692,367.1190909,358.9855556,363.8466667,355.9690909,364.9928571,359.0290909,362.9455556,361.2890909,361.4990909,354.0290909,350.9266667,347.1566667,347.1890909,350.7490909,345.4690909,350.0266667,342.6790909,344.06,,,,,,,,,,,,359.3190909,342.6790909,344.6690909,345.1366667,347.4628571,347.0207692,351.7907692,349.5166667,353.2828571,348.9328571,354.8528571,352.9566667,354.8466667,358.7066667,345.1590909,342.4990909,341.1890909,343.5666667,335.8,333.0766667,331.7090909,334.9590909,329.1090909,335.4190909,335.9390909,326.9490909,328.5566667,323.1790909,322.33,327.86,333.58,333.19,342.5090909,349.34,349.7690909,354,352.8307692,355.3228571,352.5966667,350.5690909,350.6966667,356.0666667,351.4790909,349.81,342.7555556,343.1955556,L7
2015-10-19 21:59:54+00:00,362.9638462,370.0888889,375.825,378.3152941,379.9233333,388.12,390.597619,384.5314286,386.6552941,389.1838462,376.2066667,378.5514286,380.0838462,377.4566667,388.2303448,388.3014286,379.3363636,383.3614286,381.8514286,380.5714286,389.9063636,389.5838462,383.8263636,393.0777778,381.5733333,383.7663636,389.8214286,383.6463636,397.2377778,387.3363636,394.6563636,392.3063636,389.4533333,379.5233333,378.1063636,373.2963636,380.9363636,380.9433333,375.4063636,371.67,373.3063636,376.04,378.58,378.9963636,374.92,370.7663636,377.9163636,,,,,,,,,,,,,,,382.6614286,377.6033333,372.3933333,370.6133333,371.7763636,369.1763636,369.2063636,367.4633333,365.75,360.8633333,357.9863636,364.1263636,353.4563636,352.7663636,364.7163636,355.0863636,358.1233333,356.9263636,357.21,356.1,366.93,371.86,368.1963636,371.86,386.1263636,383.2,374.7538462,370.2914286,377.8133333,374.4763636,365.6833333,370.9333333,377.3363636,373.14,375.5077778,373.2377778,L8
2015-11-28 22:00:44+00:00,323.6123077,328.3388889,333.775,335.3005882,347.5033333,354.38,347.7461905,350.6442857,350.2505882,355.0623077,349.9666667,354.7042857,356.5623077,350.8366667,351.4158621,354.3542857,350.1818182,348.1042857,353.2142857,352.2442857,360.6518182,355.3823077,358.3718182,359.3477778,350.3333333,347.8818182,349.3942857,356.8718182,364.3077778,353.4518182,353.1018182,349.1818182,342.6733333,344.0533333,345.1918182,347.2818182,345.8518182,346.0533333,342.9218182,341.24,341.6818182,342.01,342.71,346.3018182,348.9,343.8618182,346.0918182,342.8677778,339.4533333,336.26,332.7218182,334.1618182,333.8818182,339.8718182,345.2233333,339.3142857,340.8323077,340.9923077,337.1033333,338.6642857,339.7942857,343.6342857,347.7433333,345.1433333,342.7933333,340.2018182,341.3818182,341.1218182,331.0433333,336.05,328.8833333,326.4118182,331.6218182,323.6118182,327.0718182,322.9818182,322.2418182,318.3233333,320.8118182,323.18,324.13,328.42,335.01,333.7618182,339.7,348.3618182,344.38,334.1023077,331.4342857,339.1533333,331.8718182,333.6633333,329.3633333,336.2518182,339.91,342.8077778,342.0077778,L7
2016-02-24 21:59:45+00:00,356.2946154,354.5677778,353.485,360.4364706,371.4866667,371.93,366.7395238,373.6342857,371.2464706,370.3846154,367.1833333,357.6242857,363.6046154,368.0233333,360.4537931,367.8742857,378.4709091,374.9742857,370.8642857,378.2542857,378.2809091,373.2846154,374.5209091,376.2155556,382.6966667,382.3809091,376.2742857,382.0409091,385.5255556,381.3409091,377.0509091,379.3309091,377.2966667,368.2866667,369.5509091,369.4709091,369.1309091,375.7666667,374.5809091,374.41,369.8009091,368.68,372.92,373.9009091,373.45,369.7909091,370.7709091,375.0755556,368.5566667,373.14,369.5809091,370.7609091,368.2709091,365.6409091,371.7766667,371.2642857,368.0946154,371.9146154,370.5666667,371.2642857,364.2342857,365.2542857,371.1966667,365.5666667,366.3266667,365.4509091,358.8409091,358.5209091,356.4266667,362.43,359.0266667,358.3809091,353.4209091,350.7009091,351.8609091,347.2109091,347.7309091,345.9966667,348.4709091,352.96,354.23,357.72,351.82,351.1009091,352.79,355.6209091,359.52,347.4446154,350.7342857,358.5866667,361.2309091,363.1366667,363.8966667,361.7009091,363.63,358.1955556,354.1355556,L8
2016-03-11 21:59:42+00:00,368.4030769,366.1777778,362.765,362.4717647,378.0066667,381.88,372.6880952,381.4271429,385.4917647,381.0530769,378.8233333,384.1371429,379.3430769,379.4233333,372.6493103,375.0571429,380.2963636,374.0871429,385.9871429,386.1571429,391.7163636,394.8430769,390.1363636,397.5655556,387.8566667,389.4763636,394.1571429,393.1063636,405.0355556,395.9663636,397.9263636,396.7863636,387.1866667,381.2966667,381.2863636,379.0463636,381.5063636,381.3966667,381.0063636,381.14,379.0163636,384.36,384.45,386.5463636,388.8,389.6563636,395.1263636,397.2055556,387.6966667,386.7,384.9663636,386.5663636,380.5463636,383.9063636,387.7266667,379.6171429,384.2030769,381.7730769,387.3166667,380.8571429,387.6671429,385.4571429,385.9566667,383.9366667,377.5466667,384.1163636,385.1363636,384.8863636,381.3266667,379.06,373.8866667,371.8663636,367.1663636,365.5363636,360.9863636,359.9563636,357.2663636,360.8666667,362.1863636,362.78,366.58,373.16,371.08,368.4263636,372.73,370.6663636,371.02,370.7130769,365.3071429,379.3166667,383.6263636,375.5066667,369.5666667,381.5963636,376.71,368.8555556,374.1155556,L8
2016-04-20 22:02:09+00:00,356.3646154,354.4566667,360.4,362.9005882,362.83,363.78,366.1528571,361.8242857,364.5305882,363.0846154,361.14,365.3142857,362.3146154,362.62,363.772069,365.6042857,364.7454545,366.8742857,363.6242857,368.5542857,372.2154545,375.2146154,373.0254545,372.1033333,374.31,368.9054545,375.6242857,381.6054545,379.5133333,381.9154545,378.4454545,373.7054545,371.29,361.9,363.7754545,361.0154545,362.5254545,362.42,363.5654545,359.92,364.2954545,360.63,363.22,366.6054545,374.12,376.9654545,377.8654545,373.0133333,379.02,362.95,368.0654545,362.4354545,364.0154545,361.4954545,360.77,366.7842857,362.5446154,365.7146154,362.5,366.6042857,360.9442857,363.4442857,362.02,359.12,358.43,354.9454545,359.1354545,360.2854545,357.05,348.75,344.17,341.1654545,339.6254545,332.7854545,,,,,,,,,,,,,,359.6146154,359.8642857,357.8,353.8454545,350.69,355.83,353.9254545,352.2,346.6033333,342.3533333,L7
2016-04-28 21:59:25+00:00,382.2438462,376.3344444,383.43,388.4658824,391.3966667,392.6,390.3295238,385.7542857,386.0058824,395.3138462,399.1633333,386.5942857,391.2138462,391.0733333,387.5772414,388.5942857,391.0427273,387.4542857,391.5142857,394.4242857,393.8027273,397.0038462,401.6827273,398.8488889,398.5966667,402.6927273,400.1042857,407.6827273,405.4188889,408.8527273,401.4127273,403.7827273,393.6566667,385.0966667,392.8527273,392.4827273,391.5227273,389.2966667,387.0527273,394.25,393.7227273,393.68,396.13,396.5427273,400.11,399.0127273,403.0327273,407.0588889,400.1266667,400.34,399.1427273,396.5227273,395.9727273,394.5527273,392.3966667,388.8242857,387.4838462,394.0638462,396.6166667,392.6842857,394.6842857,389.4242857,391.0866667,390.9466667,391.6166667,386.3727273,383.4527273,386.3027273,382.6166667,376.4,375.6466667,376.0027273,371.6027273,,370.6927273,371.9727273,374.7027273,372.1166667,374.9227273,380.73,379.7,377.68,389.3,389.8427273,389.94,393.9827273,395.57,391.7438462,386.3542857,379.9166667,379.8027273,380.9466667,383.3766667,380.3927273,377.32,379.1688889,372.1088889,L8
2016-05-06 22:02:14+00:00,350.3892308,354.1166667,360.255,363.9594118,359.97,365.6,364.38,363.4,363.7694118,364.4592308,363.6,368.52,366.9492308,363.15,362.4934483,360.13,363.4618182,370.13,371.57,370.16,372.9318182,372.1992308,378.5418182,371.2933333,374.86,370.4418182,383.23,379.6318182,380.0033333,385.5818182,376.1618182,374.1018182,371.85,361.63,363.5118182,363.8918182,363.7618182,368.98,361.5518182,365.21,370.1218182,366.51,369.4,373.5118182,372.73,374.7418182,375.3718182,374.8833333,369.8,369.37,365.5118182,365.4118182,362.3518182,360.2518182,362.42,360.61,363.9792308,359.2492308,363.25,360.54,362.21,359.31,359.59,355.29,358.12,361.2718182,361.5318182,362.3718182,353.63,355.01,344.98,342.8318182,336.8118182,332.7518182,337.4018182,334.7518182,337.1918182,337.83,340.8818182,343.12,347.73,349.12,,,,,,,,,,,,,,,,L7
2016-05-14 21:59:24+00:00,377.12,382.4111111,377.22,386.4211765,389.0066667,386.34,389.9538095,389.1357143,385.7811765,387.45,394.6433333,389.6657143,388.28,391.7033333,387.4037931,389.2357143,392.1927273,390.5657143,390.9757143,396.0957143,394.7627273,392.61,398.4027273,396.2422222,397.0866667,398.5127273,399.8857143,400.9827273,405.1622222,400.3627273,402.6127273,394.9827273,390.8466667,387.5566667,386.8927273,387.3127273,383.9727273,388.7866667,389.3127273,388.87,389.1927273,390.52,394.3,396.4027273,397.44,396.7827273,395.0127273,395.1522222,394.9566667,393.75,391.8427273,386.8527273,383.7627273,382.6027273,382.6266667,380.1657143,384.03,389.33,385.4266667,386.1857143,384.2257143,383.3757143,382.7966667,384.0066667,385.2866667,387.2127273,384.5227273,384.4027273,380.4166667,376.41,370.7266667,366.6427273,362.3627273,358.9427273,359.4027273,356.0827273,358.2327273,365.2666667,368.4527273,369.58,367.85,371.67,377.34,380.9027273,383.52,382.2127273,381.29,385.23,379.7557143,376.6066667,370.3327273,371.9866667,376.7466667,373.4127273,371.38,367.6222222,359.9222222,L8
2016-06-15 21:59:33+00:00,367.3076923,369.74,378.645,381.6882353,384.95,387.43,386.19,397.99,401.3882353,395.6876923,396.25,395.75,388.6976923,387.43,386.6603448,388.01,389.0454545,381.7,383.83,389.12,387.3854545,384.8876923,388.9554545,398.02,406.8,393.4854545,403.56,394.2454545,401.31,404.8054545,395.2854545,393.3854545,389.2,370.55,382.5054545,384.4354545,378.6054545,390.86,388.5154545,392.52,394.4354545,378.99,384.08,400.8054545,395.63,387.0354545,385.8554545,393.93,393.34,377.76,384.0054545,374.1954545,384.7354545,386.7454545,383.28,372.87,382.0576923,385.1076923,380.47,381.67,378.46,380.92,372.03,388.08,391.45,389.3054545,391.3854545,391.9754545,386.15,371.65,356.99,360.1354545,355.8154545,349.8654545,350.2654545,357.9554545,371.6954545,376.4,378.4054545,380.65,374.48,356.15,378.93,381.9554545,381.92,384.8854545,385.36,382.4576923,377.73,373.4,376.6454545,376.81,375.11,378.0754545,374.89,367.99,354.85,L8
