dates,nzd0070-0000,nzd0070-0001,nzd0070-0002,nzd0070-0004,nzd0070-0005,nzd0070-0007,nzd0070-0008,nzd0070-0009,nzd0070-0010,nzd0070-0011,nzd0070-0012,nzd0070-0013,nzd0070-0014,nzd0070-0015,nzd0070-0016,nzd0070-0017,nzd0070-0018,nzd0070-0019,nzd0070-0020,nzd0070-0021,nzd0070-0022,nzd0070-0023,nzd0070-0024,nzd0070-0025,nzd0070-0026,nzd0070-0027,nzd0070-0028,nzd0070-0031,nzd0070-0032,nzd0070-0033,nzd0070-0034,nzd0070-0035,nzd0070-0036,satname
2003-04-22 22:06:43+00:00,419.23,422.5585714,443.62,439.63,428.9385714,422.63,417.98,413.34,,421.26,431.9185714,426.6166667,419.01,434.29,438.8785714,419.51,417.51,405.03,402.54,407.54,400.05,409.15,416.86,426.93,435.8,407.19,398.32,402.86,421.18,426.46,,415.35,398.8485714,L7
2003-05-24 22:06:41+00:00,408.2266667,430.5014286,446.5266667,454.51,439.6514286,421.99,396.4,413,408.64,433.72,413.1514286,421.9544444,405.16,411.76,409.8314286,374.12,366.2366667,,,,,,,,,,,389.31,424.66,440.2966667,,,424.3714286,L7
2003-07-28 21:48:28+00:00,424.7666667,427.6271429,412.5566667,415.48,402.4871429,379.89,387.99,376.94,,417.89,381.3071429,379.2044444,377.29,374.22,376.7671429,376.57,363.0966667,364.47,377.45,385.94,393.39,373.15,373.76,387.63,392.95,382.34,391.62,368.57,391.78,394.7266667,393.91,378.85,385.1971429,L5
2003-08-13 21:48:45+00:00,450.82,447.5114286,445.77,436.96,416.8114286,412.4,421.43,,415.1,426.15,,,,,,,,,,,,,,426.19,419.77,406.03,416.06,403.16,413.59,415.33,419.38,419.38,416.6314286,L5
2003-08-29 21:49:02+00:00,,,,,,348.67,373.3,,,,,,,,,,,391.44,411.34,416.9,426.27,393.33,408,410.9,408.95,390.03,396.91,392.74,407.99,405.1633333,408.78,408.75,407.8942857,L5
2003-11-09 22:00:18+00:00,419.6433333,423.2471429,401.6833333,399.31,388.9271429,,,,,,,,,369.08,375.3671429,375.46,,,,,,,,,,,,,,,382.42,385.82,393.8471429,L7
2004-02-05 21:50:41+00:00,420.5333333,407.5971429,403.0333333,407,388.3771429,382.75,385.68,,400.57,381.68,379.9771429,379.5655556,376.61,369.15,372.3171429,375.03,370.4633333,373.64,383.9,386.22,395.33,377.32,382.73,387.16,378.27,377.36,393.84,399.88,389.33,381.8633333,378.86,384.22,396.3971429,L5
2004-03-23 22:07:16+00:00,,405.5371429,378.3966667,382.8,362.9471429,,,,,357.45,348.8571429,,,,,,,,,,,,,,341.83,,337.28,,,,,,,L7
2004-04-08 22:07:13+00:00,403.6033333,404.3385714,392.6133333,,,,358.03,,,368.76,359.9585714,349.2822222,354.87,356.35,365.8885714,377.24,352.4933333,366.57,373.87,369.62,,,,,364.28,,366.84,,,380.7433333,381.85,382.86,386.5085714,L7
2004-04-17 22:00:57+00:00,,,,,,,,,,,,,388.32,389.52,388.0528571,,,,,,,,,,332.43,372.02,385.02,408.36,417.68,395.8666667,394.3,393.66,,L7
2004-05-03 22:00:59+00:00,403.36,405.2214286,384.96,393.75,386.8114286,,,,,,,,,,,,,,,,,,,,,,,,,381.79,377.43,378.38,380.2814286,L7
2004-05-18 21:58:38+00:00,432.9466667,424.9214286,429.3066667,428.86,412.6614286,411.28,410.96,405.71,410.56,408.88,,,,,,,,,,,,,,401.9,396.58,396.26,401.32,414.42,420.13,413.5066667,410.53,410.82,401.4414286,L5
2004-05-26 22:06:45+00:00,438.4333333,425.0271429,421.0733333,,,,446.59,,433.25,443.28,,,427.78,416.67,,446.26,,431.01,435.45,431.57,,,,,441.45,445.02,435.86,,445.04,444.0333333,428.5,,,L7
2004-06-11 22:07:02+00:00,450.4733333,432.4542857,,456.27,,,451.26,445.18,432.54,435.46,,,,,,437.8,,432.13,443.99,430.29,445.24,,,,464.17,447.96,444.46,,,,,430.67,435.9342857,L7
2004-06-12 21:53:11+00:00,,,,,435.8771429,436.08,427.12,430.25,412.16,418.21,403.1471429,392.4788889,389.87,398.01,413.9571429,404.82,,406.06,424.58,422.46,413.68,,,,447.02,430.3,,,,,,,,L5
2004-07-13 22:06:58+00:00,,,421.5766667,406.62,393.87,394.35,407.6,410.39,401.85,397.93,383.04,377.2044444,369.18,,,,,,398.97,396.44,393.63,392.46,403.15,407.66,411.4,411.73,405.32,375.84,382.2,385.5066667,,,,L7
2004-07-29 22:06:51+00:00,,,,384.68,376.7528571,369.89,401.43,381.71,378.62,364.37,361.3228571,355.7311111,355,,,,,,,367.18,364.99,353.12,359.34,,,373.02,376.58,351.45,368.23,371.8566667,356.71,,,L7
2004-09-16 21:55:41+00:00,423.1766667,419.09,395.7766667,409.87,388.91,386.44,396.92,381.56,404.38,401.96,380.8,376.1644444,370.58,365.33,,,323.9966667,377.98,373.41,376.49,401.21,390.08,389.41,413.08,386.27,389.07,396.83,371.93,383.18,390.6366667,376.39,381.62,386.77,L5
2004-11-03 21:56:42+00:00,,,,443.41,438.46,434.41,440.22,438.73,420.5,415.71,413.38,409.2222222,411.95,424.46,449.4,,430.1933333,411.81,413.31,415.45,415.82,419.63,422.83,418.61,428,446.36,446.26,401.09,412.5,400.6433333,395.78,399.92,401.16,L5
2004-11-19 21:56:55+00:00,437.47,432.7985714,435.11,428,436.3885714,426.91,408.86,411.29,375.64,371.79,387.9385714,402.3433333,423.74,437.98,427.6285714,404.29,404.95,383.37,390.59,397.77,375.45,383.5,396.81,405.49,425.13,427.57,415.73,371.76,399.8,397.3,391.04,394.21,394.2985714,L5
2005-01-13 22:04:05+00:00,470.6033333,449.4814286,435.4633333,419.69,415.1614286,423.35,415.79,399.24,412.51,406.65,392.0214286,402.6688889,410.85,405.21,407.8714286,412.34,406.7633333,410.7,405.93,396.81,402.68,414.86,427.63,429.76,430.22,425.95,425.59,428.96,432.04,417.4533333,421.48,405.52,388.0914286,L5
2005-01-14 22:01:13+00:00,,,,,408.0714286,403.61,402.26,373.65,374.35,360.27,366.1914286,380.5144444,391.47,,,,,,,,,391.65,402.03,413.86,418.71,411.24,409.02,398.59,404.49,401.2666667,,,,L7
2005-01-21 22:06:59+00:00,,,,411.35,401.8985714,415.91,412.06,380.82,384.01,374.4,377.3185714,391.5222222,406.03,402.78,393.9285714,,,,,392.48,393.08,389.23,403.11,422.04,420.01,412.53,415.82,410.9,411.01,405.8333333,388.85,,,L7
